GEOID	NAME	NAMELSAD	LSAD
31000US12120	Atmore, AL	Atmore, AL Micro Area	M2
31000US12900	Batesville, AR	Batesville, AR Micro Area	M2
31000US12940	Baton Rouge, LA	Baton Rouge, LA Metro Area	M1
31000US13140	Beaumont-Port Arthur, TX	Beaumont-Port Arthur, TX Metro Area	M1
31000US13620	Berlin, NH	Berlin, NH Micro Area	M2
31000US13700	Big Spring, TX	Big Spring, TX Micro Area	M2
31000US13720	Big Stone Gap, VA	Big Stone Gap, VA Micro Area	M2
31000US13740	Billings, MT	Billings, MT Metro Area	M1
31000US13820	Birmingham-Hoover, AL	Birmingham-Hoover, AL Metro Area	M1
31000US13900	Bismarck, ND	Bismarck, ND Metro Area	M1
31000US13980	Blacksburg-Christiansburg, VA	Blacksburg-Christiansburg, VA Metro Area	M1
31000US14010	Bloomington, IL	Bloomington, IL Metro Area	M1
31000US14140	Bluefield, WV-VA	Bluefield, WV-VA Micro Area	M2
31000US14300	Bonham, TX	Bonham, TX Micro Area	M2
31000US14700	Branson, MO	Branson, MO Micro Area	M2
31000US15140	Brownsville, TN	Brownsville, TN Micro Area	M2
31000US17140	Cincinnati, OH-KY-IN	Cincinnati, OH-KY-IN Metro Area	M1
31000US17300	Clarksville, TN-KY	Clarksville, TN-KY Metro Area	M1
31000US17860	Columbia, MO	Columbia, MO Metro Area	M1
31000US17980	Columbus, GA-AL	Columbus, GA-AL Metro Area	M1
31000US18580	Corpus Christi, TX	Corpus Christi, TX Metro Area	M1
31000US22220	Fayetteville-Springdale-Rogers, AR	Fayetteville-Springdale-Rogers, AR Metro Area	M1
31000US22840	Fort Payne, AL	Fort Payne, AL Micro Area	M2
31000US22900	Fort Smith, AR-OK	Fort Smith, AR-OK Metro Area	M1
31000US23060	Fort Wayne, IN	Fort Wayne, IN Metro Area	M1
31000US23540	Gainesville, FL	Gainesville, FL Metro Area	M1
31000US23940	Gillette, WY	Gillette, WY Micro Area	M2
31000US19000	Cullowhee, NC	Cullowhee, NC Micro Area	M2
31000US19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth-Arlington, TX Metro Area	M1
31000US19430	Dayton-Kettering, OH	Dayton-Kettering, OH Metro Area	M1
31000US19780	Des Moines-West Des Moines, IA	Des Moines-West Des Moines, IA Metro Area	M1
31000US19860	Dickinson, ND	Dickinson, ND Micro Area	M2
31000US20060	Douglas, GA	Douglas, GA Micro Area	M2
31000US20140	Dublin, GA	Dublin, GA Micro Area	M2
31000US20260	Duluth, MN-WI	Duluth, MN-WI Metro Area	M1
31000US20500	Durham-Chapel Hill, NC	Durham-Chapel Hill, NC Metro Area	M1
31000US21020	Elizabeth City, NC	Elizabeth City, NC Micro Area	M2
31000US21380	Emporia, KS	Emporia, KS Micro Area	M2
31000US21640	Eufaula, AL-GA	Eufaula, AL-GA Micro Area	M2
31000US21860	Fairmont, MN	Fairmont, MN Micro Area	M2
