,low,medium,high,null,low_pct,medium_pct,high_pct,null_pct,medhigh,medhigh_pct,geoname,sumlevel,medhigh_bins
05000US01001,66,10,12,0,75.0,11.4,13.6,0.0,22,25.0,"Autauga County, Alabama",County,1 to 74
05000US01003,77,32,35,0,53.5,22.2,24.3,0.0,67,46.5,"Baldwin County, Alabama",County,1 to 74
05000US01005,60,23,18,0,59.4,22.8,17.8,0.0,41,40.6,"Barbour County, Alabama",County,1 to 74
05000US01007,49,2,7,0,84.5,3.4,12.1,0.0,9,15.5,"Bibb County, Alabama",County,1 to 74
05000US01009,65,7,9,0,80.2,8.6,11.1,0.0,16,19.7,"Blount County, Alabama",County,1 to 74
05000US01011,49,2,7,0,84.5,3.4,12.1,0.0,9,15.5,"Bullock County, Alabama",County,1 to 74
05000US01013,61,24,18,0,59.2,23.3,17.5,0.0,42,40.8,"Butler County, Alabama",County,1 to 74
05000US01015,74,12,17,0,71.8,11.7,16.5,0.0,29,28.2,"Calhoun County, Alabama",County,1 to 74
05000US01017,61,20,10,0,67.0,22.0,11.0,0.0,30,33.0,"Chambers County, Alabama",County,1 to 74
05000US01019,60,8,9,0,77.9,10.4,11.7,0.0,17,22.1,"Cherokee County, Alabama",County,1 to 74
05000US01021,57,8,8,0,78.1,11.0,11.0,0.0,16,22.0,"Chilton County, Alabama",County,1 to 74
05000US01023,46,12,20,0,59.0,15.4,25.6,0.0,32,41.0,"Choctaw County, Alabama",County,1 to 74
05000US01025,45,9,29,0,54.2,10.8,34.9,0.0,38,45.7,"Clarke County, Alabama",County,1 to 74
05000US01027,45,3,8,0,80.4,5.4,14.3,0.0,11,19.700000000000003,"Clay County, Alabama",County,1 to 74
05000US01029,56,6,6,0,82.4,8.8,8.8,0.0,12,17.6,"Cleburne County, Alabama",County,1 to 74
05000US01031,73,9,15,0,75.3,9.3,15.5,0.0,24,24.8,"Coffee County, Alabama",County,1 to 74
05000US01033,60,9,10,0,75.9,11.4,12.7,0.0,19,24.1,"Colbert County, Alabama",County,1 to 74
05000US01035,59,7,14,0,73.8,8.8,17.5,0.0,21,26.3,"Conecuh County, Alabama",County,1 to 74
05000US01037,56,14,8,0,71.8,17.9,10.3,0.0,22,28.2,"Coosa County, Alabama",County,1 to 74
05000US01039,59,7,15,0,72.8,8.6,18.5,0.0,22,27.1,"Covington County, Alabama",County,1 to 74
05000US01041,68,11,5,0,81.0,13.1,6.0,0.0,16,19.1,"Crenshaw County, Alabama",County,1 to 74
05000US01043,66,14,19,0,66.7,14.1,19.2,0.0,33,33.3,"Cullman County, Alabama",County,1 to 74
05000US01045,69,16,9,0,73.4,17.0,9.6,0.0,25,26.6,"Dale County, Alabama",County,1 to 74
05000US01047,67,18,30,0,58.3,15.7,26.1,0.0,48,41.8,"Dallas County, Alabama",County,1 to 74
05000US01049,69,10,10,0,77.5,11.2,11.2,0.0,20,22.4,"DeKalb County, Alabama",County,1 to 74
05000US01051,59,20,9,0,67.0,22.7,10.2,0.0,29,32.9,"Elmore County, Alabama",County,1 to 74
05000US01053,63,11,12,0,73.3,12.8,14.0,0.0,23,26.8,"Escambia County, Alabama",County,1 to 74
05000US01055,85,16,11,0,75.9,14.3,9.8,0.0,27,24.1,"Etowah County, Alabama",County,1 to 74
05000US01057,53,5,10,0,77.9,7.4,14.7,0.0,15,22.1,"Fayette County, Alabama",County,1 to 74
05000US01059,66,16,7,0,74.2,18.0,7.9,0.0,23,25.9,"Franklin County, Alabama",County,1 to 74
05000US01061,63,12,9,0,75.0,14.3,10.7,0.0,21,25.0,"Geneva County, Alabama",County,1 to 74
05000US01063,62,8,12,0,75.6,9.8,14.6,0.0,20,24.4,"Greene County, Alabama",County,1 to 74
05000US01065,49,9,17,0,65.3,12.0,22.7,0.0,26,34.7,"Hale County, Alabama",County,1 to 74
05000US01067,45,4,7,0,80.4,7.1,12.5,0.0,11,19.6,"Henry County, Alabama",County,1 to 74
05000US01069,86,29,27,0,60.6,20.4,19.0,0.0,56,39.4,"Houston County, Alabama",County,1 to 74
05000US01071,69,13,11,0,74.2,14.0,11.8,0.0,24,25.8,"Jackson County, Alabama",County,1 to 74
05000US01073,77,45,30,0,50.7,29.6,19.7,0.0,75,49.3,"Jefferson County, Alabama",County,75 to 149
05000US01075,42,14,9,0,64.6,21.5,13.8,0.0,23,35.3,"Lamar County, Alabama",County,1 to 74
05000US01077,59,14,10,0,71.1,16.9,12.0,0.0,24,28.9,"Lauderdale County, Alabama",County,1 to 74
05000US01079,45,12,9,0,68.2,18.2,13.6,0.0,21,31.799999999999997,"Lawrence County, Alabama",County,1 to 74
05000US01081,70,35,35,0,50.0,25.0,25.0,0.0,70,50.0,"Lee County, Alabama",County,1 to 74
05000US01083,42,26,23,0,46.2,28.6,25.3,0.0,49,53.900000000000006,"Limestone County, Alabama",County,1 to 74
05000US01085,50,11,19,0,62.5,13.8,23.8,0.0,30,37.6,"Lowndes County, Alabama",County,1 to 74
05000US01087,64,14,26,0,61.5,13.5,25.0,0.0,40,38.5,"Macon County, Alabama",County,1 to 74
05000US01089,84,39,49,0,48.8,22.7,28.5,0.0,88,51.2,"Madison County, Alabama",County,75 to 149
05000US01091,57,20,11,0,64.8,22.7,12.5,0.0,31,35.2,"Marengo County, Alabama",County,1 to 74
05000US01093,59,9,8,0,77.6,11.8,10.5,0.0,17,22.3,"Marion County, Alabama",County,1 to 74
05000US01095,63,23,14,0,63.0,23.0,14.0,0.0,37,37.0,"Marshall County, Alabama",County,1 to 74
05000US01097,86,43,26,0,55.5,27.7,16.8,0.0,69,44.5,"Mobile County, Alabama",County,1 to 74
05000US01099,63,18,16,0,64.9,18.6,16.5,0.0,34,35.1,"Monroe County, Alabama",County,1 to 74
05000US01101,65,23,27,0,56.5,20.0,23.5,0.0,50,43.5,"Montgomery County, Alabama",County,1 to 74
05000US01103,69,16,12,0,71.1,16.5,12.4,0.0,28,28.9,"Morgan County, Alabama",County,1 to 74
05000US01105,50,9,12,0,70.4,12.7,16.9,0.0,21,29.599999999999998,"Perry County, Alabama",County,1 to 74
05000US01107,64,16,19,0,64.6,16.2,19.2,0.0,35,35.4,"Pickens County, Alabama",County,1 to 74
05000US01109,59,11,7,0,76.6,14.3,9.1,0.0,18,23.4,"Pike County, Alabama",County,1 to 74
05000US01111,74,2,7,0,89.2,2.4,8.4,0.0,9,10.8,"Randolph County, Alabama",County,1 to 74
05000US01113,68,21,12,0,67.3,20.8,11.9,0.0,33,32.7,"Russell County, Alabama",County,1 to 74
05000US01115,53,8,19,0,66.2,10.0,23.8,0.0,27,33.8,"St. Clair County, Alabama",County,1 to 74
05000US01117,50,35,40,0,40.0,28.0,32.0,0.0,75,60.0,"Shelby County, Alabama",County,75 to 149
05000US01119,54,5,13,0,75.0,6.9,18.1,0.0,18,25.0,"Sumter County, Alabama",County,1 to 74
05000US01121,77,15,13,0,73.3,14.3,12.4,0.0,28,26.700000000000003,"Talladega County, Alabama",County,1 to 74
05000US01123,68,13,9,0,75.6,14.4,10.0,0.0,22,24.4,"Tallapoosa County, Alabama",County,1 to 74
05000US01125,78,33,21,0,59.1,25.0,15.9,0.0,54,40.9,"Tuscaloosa County, Alabama",County,1 to 74
05000US01127,59,16,18,0,63.4,17.2,19.4,0.0,34,36.599999999999994,"Walker County, Alabama",County,1 to 74
05000US01129,48,11,7,0,72.7,16.7,10.6,0.0,18,27.299999999999997,"Washington County, Alabama",County,1 to 74
05000US01131,37,12,17,0,56.1,18.2,25.8,0.0,29,44.0,"Wilcox County, Alabama",County,1 to 74
05000US01133,62,12,9,0,74.7,14.5,10.8,0.0,21,25.3,"Winston County, Alabama",County,1 to 74
05000US02013,69,27,6,0,67.6,26.5,5.9,0.0,33,32.4,"Aleutians East Borough, Alaska",County,1 to 74
05000US02016,68,12,5,0,80.0,14.1,5.9,0.0,17,20.0,"Aleutians West Census Area, Alaska",County,1 to 74
05000US02020,92,23,33,0,62.2,15.5,22.3,0.0,56,37.8,"Anchorage Municipality, Alaska",County,1 to 74
05000US02050,46,11,11,0,67.6,16.2,16.2,0.0,22,32.4,"Bethel Census Area, Alaska",County,1 to 74
05000US02060,50,4,0,0,92.6,7.4,0.0,0.0,4,7.4,"Bristol Bay Borough, Alaska",County,1 to 74
05000US02068,31,0,0,0,100.0,0.0,0.0,0.0,0,0.0,"Denali Borough, Alaska",County,0
05000US02070,62,8,7,0,80.5,10.4,9.1,0.0,15,19.5,"Dillingham Census Area, Alaska",County,1 to 74
05000US02090,62,15,12,0,69.7,16.9,13.5,0.0,27,30.4,"Fairbanks North Star Borough, Alaska",County,1 to 74
05000US02100,39,0,4,0,90.7,0.0,9.3,0.0,4,9.3,"Haines Borough, Alaska",County,1 to 74
05000US02105,49,4,4,0,86.0,7.0,7.0,0.0,8,14.0,"Hoonah-Angoon Census Area, Alaska",County,1 to 74
05000US02110,66,4,10,0,82.5,5.0,12.5,0.0,14,17.5,"Juneau City and Borough, Alaska",County,1 to 74
05000US02122,50,13,18,0,61.7,16.0,22.2,0.0,31,38.2,"Kenai Peninsula Borough, Alaska",County,1 to 74
