,true,false,null,true_pct,false_pct,null_pct,geoname,sumlevel,true_bin
05000US01001,88,230,0,27.7,72.3,0.0,"Autauga County, Alabama",County,25 to 49.9
05000US01003,144,174,0,45.3,54.7,0.0,"Baldwin County, Alabama",County,25 to 49.9
05000US01005,101,217,0,31.8,68.2,0.0,"Barbour County, Alabama",County,25 to 49.9
05000US01007,58,260,0,18.2,81.8,0.0,"Bibb County, Alabama",County,0.1 to 24.9
05000US01009,81,237,0,25.5,74.5,0.0,"Blount County, Alabama",County,25 to 49.9
05000US01011,58,260,0,18.2,81.8,0.0,"Bullock County, Alabama",County,0.1 to 24.9
05000US01013,103,196,19,32.4,61.6,6.0,"Butler County, Alabama",County,25 to 49.9
05000US01015,103,215,0,32.4,67.6,0.0,"Calhoun County, Alabama",County,25 to 49.9
05000US01017,91,227,0,28.6,71.4,0.0,"Chambers County, Alabama",County,25 to 49.9
05000US01019,77,241,0,24.2,75.8,0.0,"Cherokee County, Alabama",County,0.1 to 24.9
05000US01021,73,245,0,23.0,77.0,0.0,"Chilton County, Alabama",County,0.1 to 24.9
05000US01023,78,240,0,24.5,75.5,0.0,"Choctaw County, Alabama",County,0.1 to 24.9
05000US01025,83,235,0,26.1,73.9,0.0,"Clarke County, Alabama",County,25 to 49.9
05000US01027,56,262,0,17.6,82.4,0.0,"Clay County, Alabama",County,0.1 to 24.9
05000US01029,68,250,0,21.4,78.6,0.0,"Cleburne County, Alabama",County,0.1 to 24.9
05000US01031,97,221,0,30.5,69.5,0.0,"Coffee County, Alabama",County,25 to 49.9
05000US01033,79,239,0,24.8,75.2,0.0,"Colbert County, Alabama",County,0.1 to 24.9
05000US01035,80,219,19,25.2,68.9,6.0,"Conecuh County, Alabama",County,25 to 49.9
05000US01037,78,240,0,24.5,75.5,0.0,"Coosa County, Alabama",County,0.1 to 24.9
05000US01039,81,218,19,25.5,68.6,6.0,"Covington County, Alabama",County,25 to 49.9
05000US01041,84,234,0,26.4,73.6,0.0,"Crenshaw County, Alabama",County,25 to 49.9
05000US01043,99,219,0,31.1,68.9,0.0,"Cullman County, Alabama",County,25 to 49.9
05000US01045,94,224,0,29.6,70.4,0.0,"Dale County, Alabama",County,25 to 49.9
05000US01047,115,203,0,36.2,63.8,0.0,"Dallas County, Alabama",County,25 to 49.9
05000US01049,89,229,0,28.0,72.0,0.0,"DeKalb County, Alabama",County,25 to 49.9
05000US01051,88,230,0,27.7,72.3,0.0,"Elmore County, Alabama",County,25 to 49.9
05000US01053,86,213,19,27.0,67.0,6.0,"Escambia County, Alabama",County,25 to 49.9
05000US01055,112,206,0,35.2,64.8,0.0,"Etowah County, Alabama",County,25 to 49.9
05000US01057,68,250,0,21.4,78.6,0.0,"Fayette County, Alabama",County,0.1 to 24.9
05000US01059,89,229,0,28.0,72.0,0.0,"Franklin County, Alabama",County,25 to 49.9
05000US01061,84,234,0,26.4,73.6,0.0,"Geneva County, Alabama",County,25 to 49.9
