"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b01001"	"b01001_001"	"010"	"high"	1
"b01001"	"b01001_001"	"020"	"high"	4
"b01001"	"b01001_001"	"030"	"high"	9
"b01001"	"b01001_001"	"040"	"high"	52
"b01001"	"b01001_001"	"050"	"high"	3102
"b01001"	"b01001_001"	"050"	"low"	116
"b01001"	"b01001_001"	"050"	"medium"	2
"b01001"	"b01001_001"	"060"	"high"	3178
"b01001"	"b01001_001"	"060"	"low"	30808
"b01001"	"b01001_001"	"060"	"medium"	2123
"b01001"	"b01001_001"	"060"	""	435
"b01001"	"b01001_001"	"140"	"high"	928
"b01001"	"b01001_001"	"140"	"low"	69515
"b01001"	"b01001_001"	"140"	"medium"	2827
"b01001"	"b01001_001"	"140"	""	372
"b01001"	"b01001_001"	"150"	"high"	264
"b01001"	"b01001_001"	"150"	"low"	216298
"b01001"	"b01001_001"	"150"	"medium"	2479
"b01001"	"b01001_001"	"150"	""	933
"b01001"	"b01001_001"	"160"	"high"	3792
"b01001"	"b01001_001"	"160"	"low"	24172
"b01001"	"b01001_001"	"160"	"medium"	1360
"b01001"	"b01001_001"	"160"	""	186
"b01001"	"b01001_001"	"170"	"high"	7
"b01001"	"b01001_001"	"170"	"low"	1
"b01001"	"b01001_001"	"250"	"high"	12
"b01001"	"b01001_001"	"250"	"low"	599
"b01001"	"b01001_001"	"250"	"medium"	16
"b01001"	"b01001_001"	"250"	""	66
"b01001"	"b01001_001"	"251"	"high"	3
"b01001"	"b01001_001"	"251"	"low"	426
"b01001"	"b01001_001"	"251"	"medium"	8
"b01001"	"b01001_001"	"251"	""	43
"b01001"	"b01001_001"	"256"	"high"	4
"b01001"	"b01001_001"	"256"	"low"	439
"b01001"	"b01001_001"	"256"	"medium"	6
"b01001"	"b01001_001"	"256"	""	32
"b01001"	"b01001_001"	"258"	"high"	1
"b01001"	"b01001_001"	"258"	"low"	867
"b01001"	"b01001_001"	"258"	"medium"	11
"b01001"	"b01001_001"	"258"	""	36
"b01001"	"b01001_001"	"310"	"high"	795
"b01001"	"b01001_001"	"310"	"medium"	1
"b01001"	"b01001_001"	"400"	"high"	223
"b01001"	"b01001_001"	"400"	"low"	3030
"b01001"	"b01001_001"	"400"	"medium"	335
"b01001"	"b01001_001"	"400"	""	4
"b01001"	"b01001_001"	"500"	"high"	256
"b01001"	"b01001_001"	"500"	"low"	55
"b01001"	"b01001_001"	"500"	"medium"	57
"b01001"	"b01001_001"	"795"	"high"	1315
"b01001"	"b01001_001"	"795"	"low"	618
"b01001"	"b01001_001"	"795"	"medium"	445
"b01001"	"b01001_001"	"860"	"high"	782
"b01001"	"b01001_001"	"860"	"low"	30448
"b01001"	"b01001_001"	"860"	"medium"	1618
"b01001"	"b01001_001"	"860"	""	272
"b01001"	"b01001_002"	"010"	"high"	1
"b01001"	"b01001_002"	"020"	"high"	4
"b01001"	"b01001_002"	"030"	"high"	9
"b01001"	"b01001_002"	"040"	"high"	48
"b01001"	"b01001_002"	"040"	"low"	2
"b01001"	"b01001_002"	"040"	"medium"	2
"b01001"	"b01001_002"	"050"	"high"	1077
"b01001"	"b01001_002"	"050"	"low"	1479
"b01001"	"b01001_002"	"050"	"medium"	661
"b01001"	"b01001_002"	"050"	""	3
"b01001"	"b01001_002"	"060"	"high"	284
"b01001"	"b01001_002"	"060"	"low"	34951
"b01001"	"b01001_002"	"060"	"medium"	762
"b01001"	"b01001_002"	"060"	""	547
"b01001"	"b01001_002"	"140"	"high"	153
"b01001"	"b01001_002"	"140"	"low"	71516
"b01001"	"b01001_002"	"140"	"medium"	1523
"b01001"	"b01001_002"	"140"	""	450
"b01001"	"b01001_002"	"150"	"high"	130
"b01001"	"b01001_002"	"150"	"low"	216778
"b01001"	"b01001_002"	"150"	"medium"	1791
"b01001"	"b01001_002"	"150"	""	1275
"b01001"	"b01001_002"	"160"	"high"	302
"b01001"	"b01001_002"	"160"	"low"	28142
"b01001"	"b01001_002"	"160"	"medium"	770
"b01001"	"b01001_002"	"160"	""	296
"b01001"	"b01001_002"	"170"	"high"	4
"b01001"	"b01001_002"	"170"	"low"	4
"b01001"	"b01001_002"	"250"	"high"	5
"b01001"	"b01001_002"	"250"	"low"	597
"b01001"	"b01001_002"	"250"	"medium"	15
"b01001"	"b01001_002"	"250"	""	76
"b01001"	"b01001_002"	"251"	"low"	428
"b01001"	"b01001_002"	"251"	"medium"	6
"b01001"	"b01001_002"	"251"	""	46
"b01001"	"b01001_002"	"256"	"high"	1
"b01001"	"b01001_002"	"256"	"low"	439
"b01001"	"b01001_002"	"256"	"medium"	4
"b01001"	"b01001_002"	"256"	""	37
"b01001"	"b01001_002"	"258"	"low"	860
"b01001"	"b01001_002"	"258"	"medium"	11
"b01001"	"b01001_002"	"258"	""	44
"b01001"	"b01001_002"	"310"	"high"	414
"b01001"	"b01001_002"	"310"	"low"	222
"b01001"	"b01001_002"	"310"	"medium"	160
"b01001"	"b01001_002"	"400"	"high"	123
"b01001"	"b01001_002"	"400"	"low"	3288
"b01001"	"b01001_002"	"400"	"medium"	177
"b01001"	"b01001_002"	"400"	""	4
"b01001"	"b01001_002"	"500"	"high"	201
"b01001"	"b01001_002"	"500"	"low"	105
"b01001"	"b01001_002"	"500"	"medium"	62
"b01001"	"b01001_002"	"795"	"high"	573
"b01001"	"b01001_002"	"795"	"low"	1211
"b01001"	"b01001_002"	"795"	"medium"	594
"b01001"	"b01001_002"	"860"	"high"	156
"b01001"	"b01001_002"	"860"	"low"	31638
"b01001"	"b01001_002"	"860"	"medium"	977
"b01001"	"b01001_002"	"860"	""	349
"b01001"	"b01001_003"	"010"	"high"	1
"b01001"	"b01001_003"	"020"	"high"	4
"b01001"	"b01001_003"	"030"	"high"	8
"b01001"	"b01001_003"	"030"	"medium"	1
"b01001"	"b01001_003"	"040"	"high"	28
"b01001"	"b01001_003"	"040"	"low"	10
"b01001"	"b01001_003"	"040"	"medium"	14
"b01001"	"b01001_003"	"050"	"high"	357
"b01001"	"b01001_003"	"050"	"low"	2402
"b01001"	"b01001_003"	"050"	"medium"	440
"b01001"	"b01001_003"	"050"	""	21
"b01001"	"b01001_003"	"060"	"high"	24
"b01001"	"b01001_003"	"060"	"low"	32054
"b01001"	"b01001_003"	"060"	"medium"	139
"b01001"	"b01001_003"	"060"	""	4327
"b01001"	"b01001_003"	"140"	"high"	6
"b01001"	"b01001_003"	"140"	"low"	71862
"b01001"	"b01001_003"	"140"	"medium"	298
"b01001"	"b01001_003"	"140"	""	1476
"b01001"	"b01001_003"	"150"	"high"	11
"b01001"	"b01001_003"	"150"	"low"	205058
"b01001"	"b01001_003"	"150"	"medium"	235
"b01001"	"b01001_003"	"150"	""	14670
"b01001"	"b01001_003"	"160"	"high"	17
"b01001"	"b01001_003"	"160"	"low"	26086
"b01001"	"b01001_003"	"160"	"medium"	122
"b01001"	"b01001_003"	"160"	""	3285
"b01001"	"b01001_003"	"170"	"high"	1
"b01001"	"b01001_003"	"170"	"low"	6
"b01001"	"b01001_003"	"170"	"medium"	1
"b01001"	"b01001_003"	"250"	"low"	531
"b01001"	"b01001_003"	"250"	"medium"	9
"b01001"	"b01001_003"	"250"	""	153
"b01001"	"b01001_003"	"251"	"low"	378
"b01001"	"b01001_003"	"251"	"medium"	1
"b01001"	"b01001_003"	"251"	""	101
"b01001"	"b01001_003"	"256"	"low"	407
"b01001"	"b01001_003"	"256"	"medium"	7
"b01001"	"b01001_003"	"256"	""	67
"b01001"	"b01001_003"	"258"	"low"	815
"b01001"	"b01001_003"	"258"	"medium"	9
"b01001"	"b01001_003"	"258"	""	91
"b01001"	"b01001_003"	"310"	"high"	113
"b01001"	"b01001_003"	"310"	"low"	525
"b01001"	"b01001_003"	"310"	"medium"	158
"b01001"	"b01001_003"	"400"	"high"	18
"b01001"	"b01001_003"	"400"	"low"	3475
"b01001"	"b01001_003"	"400"	"medium"	83
"b01001"	"b01001_003"	"400"	""	16
"b01001"	"b01001_003"	"500"	"high"	18
"b01001"	"b01001_003"	"500"	"low"	289
"b01001"	"b01001_003"	"500"	"medium"	61
"b01001"	"b01001_003"	"795"	"high"	77
"b01001"	"b01001_003"	"795"	"low"	2107
"b01001"	"b01001_003"	"795"	"medium"	190
"b01001"	"b01001_003"	"795"	""	4
"b01001"	"b01001_003"	"860"	"high"	39
