"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b01001"	"b01001_001"	"010"	"high"	1
"b01001"	"b01001_001"	"020"	"high"	4
"b01001"	"b01001_001"	"030"	"high"	9
"b01001"	"b01001_001"	"040"	"high"	52
"b01001"	"b01001_001"	"050"	"high"	3102
"b01001"	"b01001_001"	"050"	"low"	14
"b01001"	"b01001_001"	"050"	"medium"	2
"b01001"	"b01001_001"	"060"	"high"	3178
"b01001"	"b01001_001"	"060"	"low"	6098
"b01001"	"b01001_001"	"060"	"medium"	2123
"b01001"	"b01001_001"	"140"	"high"	928
"b01001"	"b01001_001"	"140"	"low"	14359
"b01001"	"b01001_001"	"140"	"medium"	2827
"b01001"	"b01001_001"	"150"	"high"	264
"b01001"	"b01001_001"	"150"	"low"	34824
"b01001"	"b01001_001"	"150"	"medium"	2479
"b01001"	"b01001_001"	"160"	"high"	3792
"b01001"	"b01001_001"	"160"	"low"	4064
"b01001"	"b01001_001"	"160"	"medium"	1360
"b01001"	"b01001_001"	"170"	"high"	7
"b01001"	"b01001_001"	"250"	"high"	12
"b01001"	"b01001_001"	"250"	"low"	112
"b01001"	"b01001_001"	"250"	"medium"	16
"b01001"	"b01001_001"	"251"	"high"	3
"b01001"	"b01001_001"	"251"	"low"	86
"b01001"	"b01001_001"	"251"	"medium"	8
"b01001"	"b01001_001"	"256"	"high"	4
"b01001"	"b01001_001"	"256"	"low"	85
"b01001"	"b01001_001"	"256"	"medium"	6
"b01001"	"b01001_001"	"258"	"high"	1
"b01001"	"b01001_001"	"258"	"low"	155
"b01001"	"b01001_001"	"258"	"medium"	11
"b01001"	"b01001_001"	"310"	"high"	795
"b01001"	"b01001_001"	"310"	"medium"	1
"b01001"	"b01001_001"	"400"	"high"	223
"b01001"	"b01001_001"	"400"	"low"	881
"b01001"	"b01001_001"	"400"	"medium"	335
"b01001"	"b01001_001"	"500"	"high"	256
"b01001"	"b01001_001"	"500"	"low"	24
"b01001"	"b01001_001"	"500"	"medium"	57
"b01001"	"b01001_001"	"795"	"high"	1315
"b01001"	"b01001_001"	"795"	"low"	275
"b01001"	"b01001_001"	"795"	"medium"	445
"b01001"	"b01001_001"	"860"	"high"	782
"b01001"	"b01001_001"	"860"	"low"	6623
"b01001"	"b01001_001"	"860"	"medium"	1618
"b01001"	"b01001_002"	"010"	"high"	1
"b01001"	"b01001_002"	"020"	"high"	4
"b01001"	"b01001_002"	"030"	"high"	9
"b01001"	"b01001_002"	"040"	"high"	48
"b01001"	"b01001_002"	"040"	"medium"	2
"b01001"	"b01001_002"	"050"	"high"	1077
"b01001"	"b01001_002"	"050"	"low"	593
"b01001"	"b01001_002"	"050"	"medium"	661
"b01001"	"b01001_002"	"060"	"high"	284
"b01001"	"b01001_002"	"060"	"low"	6161
"b01001"	"b01001_002"	"060"	"medium"	762
"b01001"	"b01001_002"	"140"	"high"	153
"b01001"	"b01001_002"	"140"	"low"	12990
"b01001"	"b01001_002"	"140"	"medium"	1523
"b01001"	"b01001_002"	"150"	"high"	130
"b01001"	"b01001_002"	"150"	"low"	33563
"b01001"	"b01001_002"	"150"	"medium"	1791
"b01001"	"b01001_002"	"160"	"high"	302
"b01001"	"b01001_002"	"160"	"low"	4492
"b01001"	"b01001_002"	"160"	"medium"	770
"b01001"	"b01001_002"	"170"	"high"	4
"b01001"	"b01001_002"	"250"	"high"	5
"b01001"	"b01001_002"	"250"	"low"	118
"b01001"	"b01001_002"	"250"	"medium"	15
"b01001"	"b01001_002"	"251"	"low"	79
"b01001"	"b01001_002"	"251"	"medium"	6
"b01001"	"b01001_002"	"256"	"high"	1
"b01001"	"b01001_002"	"256"	"low"	85
"b01001"	"b01001_002"	"256"	"medium"	4
"b01001"	"b01001_002"	"258"	"low"	145
"b01001"	"b01001_002"	"258"	"medium"	11
"b01001"	"b01001_002"	"310"	"high"	414
"b01001"	"b01001_002"	"310"	"low"	102
"b01001"	"b01001_002"	"310"	"medium"	160
"b01001"	"b01001_002"	"400"	"high"	123
"b01001"	"b01001_002"	"400"	"low"	769
"b01001"	"b01001_002"	"400"	"medium"	177
"b01001"	"b01001_002"	"500"	"high"	201
"b01001"	"b01001_002"	"500"	"low"	58
"b01001"	"b01001_002"	"500"	"medium"	62
"b01001"	"b01001_002"	"795"	"high"	573
"b01001"	"b01001_002"	"795"	"low"	530
"b01001"	"b01001_002"	"795"	"medium"	594
"b01001"	"b01001_002"	"860"	"high"	156
"b01001"	"b01001_002"	"860"	"low"	6071
"b01001"	"b01001_002"	"860"	"medium"	977
"b01001"	"b01001_003"	"010"	"high"	1
"b01001"	"b01001_003"	"020"	"high"	4
"b01001"	"b01001_003"	"030"	"high"	8
"b01001"	"b01001_003"	"030"	"medium"	1
"b01001"	"b01001_003"	"040"	"high"	28
"b01001"	"b01001_003"	"040"	"low"	5
"b01001"	"b01001_003"	"040"	"medium"	14
"b01001"	"b01001_003"	"050"	"high"	357
"b01001"	"b01001_003"	"050"	"low"	830
"b01001"	"b01001_003"	"050"	"medium"	440
"b01001"	"b01001_003"	"060"	"high"	24
"b01001"	"b01001_003"	"060"	"low"	4386
"b01001"	"b01001_003"	"060"	"medium"	139
"b01001"	"b01001_003"	"140"	"high"	6
"b01001"	"b01001_003"	"140"	"low"	11179
"b01001"	"b01001_003"	"140"	"medium"	298
"b01001"	"b01001_003"	"150"	"high"	11
"b01001"	"b01001_003"	"150"	"low"	24546
"b01001"	"b01001_003"	"150"	"medium"	235
"b01001"	"b01001_003"	"160"	"high"	17
"b01001"	"b01001_003"	"160"	"low"	3179
"b01001"	"b01001_003"	"160"	"medium"	122
"b01001"	"b01001_003"	"170"	"high"	1
"b01001"	"b01001_003"	"170"	"low"	3
"b01001"	"b01001_003"	"170"	"medium"	1
"b01001"	"b01001_003"	"250"	"low"	66
"b01001"	"b01001_003"	"250"	"medium"	9
"b01001"	"b01001_003"	"251"	"low"	54
"b01001"	"b01001_003"	"251"	"medium"	1
"b01001"	"b01001_003"	"256"	"low"	48
"b01001"	"b01001_003"	"256"	"medium"	7
"b01001"	"b01001_003"	"258"	"low"	108
"b01001"	"b01001_003"	"258"	"medium"	9
"b01001"	"b01001_003"	"310"	"high"	113
"b01001"	"b01001_003"	"310"	"low"	211
"b01001"	"b01001_003"	"310"	"medium"	158
"b01001"	"b01001_003"	"400"	"high"	18
"b01001"	"b01001_003"	"400"	"low"	669
"b01001"	"b01001_003"	"400"	"medium"	83
"b01001"	"b01001_003"	"500"	"high"	18
"b01001"	"b01001_003"	"500"	"low"	115
"b01001"	"b01001_003"	"500"	"medium"	61
"b01001"	"b01001_003"	"795"	"high"	77
"b01001"	"b01001_003"	"795"	"low"	577
"b01001"	"b01001_003"	"795"	"medium"	190
"b01001"	"b01001_003"	"860"	"high"	39
"b01001"	"b01001_003"	"860"	"low"	4353
"b01001"	"b01001_003"	"860"	"medium"	145
"b01001"	"b01001_004"	"010"	"high"	1
"b01001"	"b01001_004"	"020"	"high"	2
"b01001"	"b01001_004"	"020"	"low"	1
"b01001"	"b01001_004"	"030"	"high"	3
"b01001"	"b01001_004"	"030"	"low"	3
"b01001"	"b01001_004"	"040"	"high"	7
"b01001"	"b01001_004"	"040"	"low"	15
"b01001"	"b01001_004"	"040"	"medium"	10
"b01001"	"b01001_004"	"050"	"high"	1
"b01001"	"b01001_004"	"050"	"low"	665
"b01001"	"b01001_004"	"050"	"medium"	67
"b01001"	"b01001_004"	"060"	"high"	7
"b01001"	"b01001_004"	"060"	"low"	4371
"b01001"	"b01001_004"	"060"	"medium"	116
"b01001"	"b01001_004"	"140"	"high"	1
"b01001"	"b01001_004"	"140"	"low"	10966
"b01001"	"b01001_004"	"140"	"medium"	283
"b01001"	"b01001_004"	"150"	"high"	5
"b01001"	"b01001_004"	"150"	"low"	25139
"b01001"	"b01001_004"	"150"	"medium"	246
"b01001"	"b01001_004"	"160"	"high"	1
"b01001"	"b01001_004"	"160"	"low"	3073
"b01001"	"b01001_004"	"160"	"medium"	83
"b01001"	"b01001_004"	"170"	"low"	1
"b01001"	"b01001_004"	"250"	"low"	64
"b01001"	"b01001_004"	"250"	"medium"	3
"b01001"	"b01001_004"	"251"	"low"	59
"b01001"	"b01001_004"	"251"	"medium"	3
"b01001"	"b01001_004"	"256"	"low"	50
"b01001"	"b01001_004"	"256"	"medium"	2
"b01001"	"b01001_004"	"258"	"low"	128
