"table"	"variable"	"sumlevel"	"sig_dif"	"sig_dif_count"
"b01001"	"b01001_001"	"010"	True	1
"b01001"	"b01001_001"	"020"	True	4
"b01001"	"b01001_001"	"030"	True	9
"b01001"	"b01001_001"	"040"	True	52
"b01001"	"b01001_001"	"050"	False	102
"b01001"	"b01001_001"	"050"	True	3118
"b01001"	"b01001_001"	"060"	False	25145
"b01001"	"b01001_001"	"060"	True	11399
"b01001"	"b01001_001"	"140"	False	55528
"b01001"	"b01001_001"	"140"	True	18114
"b01001"	"b01001_001"	"150"	False	182407
"b01001"	"b01001_001"	"150"	True	37567
"b01001"	"b01001_001"	"160"	False	20294
"b01001"	"b01001_001"	"160"	True	9216
"b01001"	"b01001_001"	"170"	False	1
"b01001"	"b01001_001"	"170"	True	7
"b01001"	"b01001_001"	"250"	False	553
"b01001"	"b01001_001"	"250"	True	140
"b01001"	"b01001_001"	"251"	False	383
"b01001"	"b01001_001"	"251"	True	97
"b01001"	"b01001_001"	"256"	False	386
"b01001"	"b01001_001"	"256"	True	95
"b01001"	"b01001_001"	"258"	False	748
"b01001"	"b01001_001"	"258"	True	167
"b01001"	"b01001_001"	"310"	True	796
"b01001"	"b01001_001"	"400"	False	2153
"b01001"	"b01001_001"	"400"	True	1439
"b01001"	"b01001_001"	"500"	False	31
"b01001"	"b01001_001"	"500"	True	337
"b01001"	"b01001_001"	"795"	False	343
"b01001"	"b01001_001"	"795"	True	2035
"b01001"	"b01001_001"	"860"	False	24097
"b01001"	"b01001_001"	"860"	True	9023
"b01001"	"b01001_002"	"010"	True	1
"b01001"	"b01001_002"	"020"	True	4
"b01001"	"b01001_002"	"030"	True	9
"b01001"	"b01001_002"	"040"	False	2
"b01001"	"b01001_002"	"040"	True	50
"b01001"	"b01001_002"	"050"	False	889
"b01001"	"b01001_002"	"050"	True	2331
"b01001"	"b01001_002"	"060"	False	29337
"b01001"	"b01001_002"	"060"	True	7207
"b01001"	"b01001_002"	"140"	False	58976
"b01001"	"b01001_002"	"140"	True	14666
"b01001"	"b01001_002"	"150"	False	184490
"b01001"	"b01001_002"	"150"	True	35484
"b01001"	"b01001_002"	"160"	False	23946
"b01001"	"b01001_002"	"160"	True	5564
"b01001"	"b01001_002"	"170"	False	4
"b01001"	"b01001_002"	"170"	True	4
"b01001"	"b01001_002"	"250"	False	555
"b01001"	"b01001_002"	"250"	True	138
"b01001"	"b01001_002"	"251"	False	395
"b01001"	"b01001_002"	"251"	True	85
"b01001"	"b01001_002"	"256"	False	391
"b01001"	"b01001_002"	"256"	True	90
"b01001"	"b01001_002"	"258"	False	759
"b01001"	"b01001_002"	"258"	True	156
"b01001"	"b01001_002"	"310"	False	120
"b01001"	"b01001_002"	"310"	True	676
"b01001"	"b01001_002"	"400"	False	2523
"b01001"	"b01001_002"	"400"	True	1069
"b01001"	"b01001_002"	"500"	False	47
"b01001"	"b01001_002"	"500"	True	321
"b01001"	"b01001_002"	"795"	False	681
"b01001"	"b01001_002"	"795"	True	1697
"b01001"	"b01001_002"	"860"	False	25916
"b01001"	"b01001_002"	"860"	True	7204
"b01001"	"b01001_003"	"010"	True	1
"b01001"	"b01001_003"	"020"	True	4
"b01001"	"b01001_003"	"030"	True	9
"b01001"	"b01001_003"	"040"	False	5
"b01001"	"b01001_003"	"040"	True	47
"b01001"	"b01001_003"	"050"	False	1593
"b01001"	"b01001_003"	"050"	True	1627
"b01001"	"b01001_003"	"060"	False	31995
"b01001"	"b01001_003"	"060"	True	4549
"b01001"	"b01001_003"	"140"	False	62159
"b01001"	"b01001_003"	"140"	True	11483
"b01001"	"b01001_003"	"150"	False	195182
"b01001"	"b01001_003"	"150"	True	24792
"b01001"	"b01001_003"	"160"	False	26192
"b01001"	"b01001_003"	"160"	True	3318
"b01001"	"b01001_003"	"170"	False	3
"b01001"	"b01001_003"	"170"	True	5
"b01001"	"b01001_003"	"250"	False	618
"b01001"	"b01001_003"	"250"	True	75
"b01001"	"b01001_003"	"251"	False	425
"b01001"	"b01001_003"	"251"	True	55
"b01001"	"b01001_003"	"256"	False	426
"b01001"	"b01001_003"	"256"	True	55
"b01001"	"b01001_003"	"258"	False	798
"b01001"	"b01001_003"	"258"	True	117
"b01001"	"b01001_003"	"310"	False	314
"b01001"	"b01001_003"	"310"	True	482
"b01001"	"b01001_003"	"400"	False	2822
"b01001"	"b01001_003"	"400"	True	770
"b01001"	"b01001_003"	"500"	False	174
"b01001"	"b01001_003"	"500"	True	194
"b01001"	"b01001_003"	"795"	False	1534
"b01001"	"b01001_003"	"795"	True	844
"b01001"	"b01001_003"	"860"	False	28583
"b01001"	"b01001_003"	"860"	True	4537
"b01001"	"b01001_004"	"010"	True	1
"b01001"	"b01001_004"	"020"	False	1
"b01001"	"b01001_004"	"020"	True	3
"b01001"	"b01001_004"	"030"	False	3
"b01001"	"b01001_004"	"030"	True	6
"b01001"	"b01001_004"	"040"	False	20
"b01001"	"b01001_004"	"040"	True	32
"b01001"	"b01001_004"	"050"	False	2487
"b01001"	"b01001_004"	"050"	True	733
"b01001"	"b01001_004"	"060"	False	32050
"b01001"	"b01001_004"	"060"	True	4494
"b01001"	"b01001_004"	"140"	False	62392
"b01001"	"b01001_004"	"140"	True	11250
"b01001"	"b01001_004"	"150"	False	194584
"b01001"	"b01001_004"	"150"	True	25390
"b01001"	"b01001_004"	"160"	False	26353
"b01001"	"b01001_004"	"160"	True	3157
"b01001"	"b01001_004"	"170"	False	7
"b01001"	"b01001_004"	"170"	True	1
"b01001"	"b01001_004"	"250"	False	626
"b01001"	"b01001_004"	"250"	True	67
"b01001"	"b01001_004"	"251"	False	418
"b01001"	"b01001_004"	"251"	True	62
