Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
+------------+--------+----------+-----------+-----------------+---------+
| b01001_001 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_001 | b01001 |   020    |    high   |        4        |  100.0  |
| b01001_001 | b01001 |   030    |    high   |        9        |  100.0  |
| b01001_001 | b01001 |   040    |    high   |        52       |  100.0  |
| b01001_001 | b01001 |   050    |    low    |        14       |   0.4   |
| b01001_001 | b01001 |   050    |   medium  |        2        |   0.1   |
| b01001_001 | b01001 |   050    |    high   |       3102      |   99.5  |
| b01001_001 | b01001 |   060    |    low    |       6098      |   53.5  |
| b01001_001 | b01001 |   060    |   medium  |       2123      |   18.6  |
| b01001_001 | b01001 |   060    |    high   |       3178      |   27.9  |
| b01001_001 | b01001 |   140    |    low    |      14359      |   79.3  |
| b01001_001 | b01001 |   140    |   medium  |       2827      |   15.6  |
| b01001_001 | b01001 |   140    |    high   |       928       |   5.1   |
| b01001_001 | b01001 |   150    |    low    |      34824      |   92.7  |
| b01001_001 | b01001 |   150    |   medium  |       2479      |   6.6   |
| b01001_001 | b01001 |   150    |    high   |       264       |   0.7   |
| b01001_001 | b01001 |   160    |    low    |       4064      |   44.1  |
| b01001_001 | b01001 |   160    |   medium  |       1360      |   14.8  |
| b01001_001 | b01001 |   160    |    high   |       3792      |   41.1  |
| b01001_001 | b01001 |   170    |    high   |        7        |  100.0  |
| b01001_001 | b01001 |   250    |    low    |       112       |   80.0  |
| b01001_001 | b01001 |   250    |   medium  |        16       |   11.4  |
| b01001_001 | b01001 |   250    |    high   |        12       |   8.6   |
| b01001_001 | b01001 |   251    |    low    |        86       |   88.7  |
| b01001_001 | b01001 |   251    |   medium  |        8        |   8.2   |
| b01001_001 | b01001 |   251    |    high   |        3        |   3.1   |
| b01001_001 | b01001 |   256    |    low    |        85       |   89.5  |
| b01001_001 | b01001 |   256    |   medium  |        6        |   6.3   |
| b01001_001 | b01001 |   256    |    high   |        4        |   4.2   |
| b01001_001 | b01001 |   258    |    low    |       155       |   92.8  |
| b01001_001 | b01001 |   258    |   medium  |        11       |   6.6   |
| b01001_001 | b01001 |   258    |    high   |        1        |   0.6   |
| b01001_001 | b01001 |   310    |   medium  |        1        |   0.1   |
| b01001_001 | b01001 |   310    |    high   |       795       |   99.9  |
| b01001_001 | b01001 |   400    |    low    |       881       |   61.2  |
| b01001_001 | b01001 |   400    |   medium  |       335       |   23.3  |
| b01001_001 | b01001 |   400    |    high   |       223       |   15.5  |
| b01001_001 | b01001 |   500    |    low    |        24       |   7.1   |
| b01001_001 | b01001 |   500    |   medium  |        57       |   16.9  |
| b01001_001 | b01001 |   500    |    high   |       256       |   76.0  |
| b01001_001 | b01001 |   795    |    low    |       275       |   13.5  |
| b01001_001 | b01001 |   795    |   medium  |       445       |   21.9  |
| b01001_001 | b01001 |   795    |    high   |       1315      |   64.6  |
| b01001_001 | b01001 |   860    |    low    |       6623      |   73.4  |
| b01001_001 | b01001 |   860    |   medium  |       1618      |   17.9  |
| b01001_001 | b01001 |   860    |    high   |       782       |   8.7   |
| b01001_002 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_002 | b01001 |   020    |    high   |        4        |  100.0  |
| b01001_002 | b01001 |   030    |    high   |        9        |  100.0  |
| b01001_002 | b01001 |   040    |   medium  |        2        |   4.0   |
| b01001_002 | b01001 |   040    |    high   |        48       |   96.0  |
| b01001_002 | b01001 |   050    |    low    |       593       |   25.4  |
| b01001_002 | b01001 |   050    |   medium  |       661       |   28.4  |
| b01001_002 | b01001 |   050    |    high   |       1077      |   46.2  |
| b01001_002 | b01001 |   060    |    low    |       6161      |   85.5  |
