Coefficient of Variation for Change: Percent Total by Table and Summary Level

+--------+----------+-----------+-----------------+---------+
| table  | sumlevel | change_cv | change_cv_count | percent |
+--------+----------+-----------+-----------------+---------+
| b01001 |   010    |   medium  |        1        |   2.1   |
| b01001 |   010    |    high   |        46       |   97.9  |
| b01001 |   020    |    low    |        8        |   4.3   |
| b01001 |   020    |   medium  |        21       |   11.2  |
| b01001 |   020    |    high   |       159       |   84.6  |
| b01001 |   030    |    low    |        26       |   6.3   |
| b01001 |   030    |   medium  |        53       |   12.9  |
| b01001 |   030    |    high   |       332       |   80.8  |
| b01001 |   040    |    low    |       393       |   18.9  |
| b01001 |   040    |   medium  |       495       |   23.8  |
| b01001 |   040    |    high   |       1193      |   57.3  |
| b01001 |   050    |    low    |      33371      |   57.7  |
| b01001 |   050    |   medium  |      11782      |   20.4  |
| b01001 |   050    |    high   |      12658      |   21.9  |
| b01001 |   060    |    low    |      201672     |   93.3  |
| b01001 |   060    |   medium  |      10150      |   4.7   |
| b01001 |   060    |    high   |       4389      |   2.0   |
| b01001 |   140    |    low    |      496483     |   96.7  |
| b01001 |   140    |   medium  |      15467      |   3.0   |
| b01001 |   140    |    high   |       1328      |   0.3   |
| b01001 |   150    |    low    |      975418     |   98.6  |
| b01001 |   150    |   medium  |      13040      |   1.3   |
| b01001 |   150    |    high   |       627       |   0.1   |
| b01001 |   160    |    low    |      139874     |   92.2  |
| b01001 |   160    |   medium  |       7058      |   4.7   |
| b01001 |   160    |    high   |       4815      |   3.2   |
| b01001 |   170    |    low    |       106       |   55.2  |
| b01001 |   170    |   medium  |        38       |   19.8  |
| b01001 |   170    |    high   |        48       |   25.0  |
| b01001 |   250    |    low    |       2987      |   90.1  |
| b01001 |   250    |   medium  |       290       |   8.7   |
| b01001 |   250    |    high   |        39       |   1.2   |
| b01001 |   251    |    low    |       2208      |   96.5  |
| b01001 |   251    |   medium  |        77       |   3.4   |
| b01001 |   251    |    high   |        3        |   0.1   |
| b01001 |   256    |    low    |       2607      |   95.7  |
| b01001 |   256    |   medium  |       111       |   4.1   |
| b01001 |   256    |    high   |        5        |   0.2   |
| b01001 |   258    |    low    |       4818      |   97.4  |
| b01001 |   258    |   medium  |       129       |   2.6   |
| b01001 |   258    |    high   |        1        |   0.0   |
| b01001 |   310    |    low    |       8758      |   51.0  |
| b01001 |   310    |   medium  |       4052      |   23.6  |
| b01001 |   310    |    high   |       4347      |   25.3  |
| b01001 |   400    |    low    |      28996      |   85.7  |
| b01001 |   400    |   medium  |       3507      |   10.4  |
| b01001 |   400    |    high   |       1320      |   3.9   |
| b01001 |   500    |    low    |       5033      |   46.4  |
| b01001 |   500    |   medium  |       4008      |   36.9  |
| b01001 |   500    |    high   |       1817      |   16.7  |
| b01001 |   795    |    low    |      30195      |   69.9  |
| b01001 |   795    |   medium  |       8695      |   20.1  |
| b01001 |   795    |    high   |       4319      |   10.0  |
| b01001 |   860    |    low    |      202428     |   95.0  |
| b01001 |   860    |   medium  |       9157      |   4.3   |
| b01001 |   860    |    high   |       1395      |   0.7   |
| b01002 |   010    |    high   |        3        |  100.0  |
| b01002 |   020    |    low    |        1        |   8.3   |
| b01002 |   020    |   medium  |        3        |   25.0  |
| b01002 |   020    |    high   |        8        |   66.7  |
| b01002 |   030    |    low    |        1        |   3.7   |
| b01002 |   030    |   medium  |        6        |   22.2  |
| b01002 |   030    |    high   |        20       |   74.1  |
| b01002 |   040    |    low    |        22       |   15.3  |
| b01002 |   040    |   medium  |        48       |   33.3  |
| b01002 |   040    |    high   |        74       |   51.4  |
| b01002 |   050    |    low    |       2566      |   49.5  |
| b01002 |   050    |   medium  |       1804      |   34.8  |
| b01002 |   050    |    high   |       819       |   15.8  |
| b01002 |   060    |    low    |      15639      |   87.8  |
| b01002 |   060    |   medium  |       1939      |   10.9  |
| b01002 |   060    |    high   |       227       |   1.3   |
| b01002 |   140    |    low    |      32178      |   91.8  |
| b01002 |   140    |   medium  |       2800      |   8.0   |
| b01002 |   140    |    high   |        60       |   0.2   |
| b01002 |   150    |    low    |      79949      |   89.9  |
| b01002 |   150    |   medium  |       8542      |   9.6   |
| b01002 |   150    |    high   |       403       |   0.5   |
| b01002 |   160    |    low    |      11279      |   88.2  |
| b01002 |   160    |   medium  |       1379      |   10.8  |
| b01002 |   160    |    high   |       136       |   1.1   |
| b01002 |   170    |    low    |        9        |   64.3  |
| b01002 |   170    |   medium  |        4        |   28.6  |
| b01002 |   170    |    high   |        1        |   7.1   |
| b01002 |   250    |    low    |       234       |   83.0  |
| b01002 |   250    |   medium  |        46       |   16.3  |
| b01002 |   250    |    high   |        2        |   0.7   |
| b01002 |   251    |    low    |       187       |   89.5  |
| b01002 |   251    |   medium  |        21       |   10.0  |
| b01002 |   251    |    high   |        1        |   0.5   |
| b01002 |   256    |    low    |       200       |   90.9  |
| b01002 |   256    |   medium  |        19       |   8.6   |
| b01002 |   256    |    high   |        1        |   0.5   |
| b01002 |   258    |    low    |       349       |   88.4  |
| b01002 |   258    |   medium  |        44       |   11.1  |
| b01002 |   258    |    high   |        2        |   0.5   |
| b01002 |   310    |    low    |       679       |   45.1  |
| b01002 |   310    |   medium  |       517       |   34.4  |
| b01002 |   310    |    high   |       309       |   20.5  |
| b01002 |   400    |    low    |       1893      |   77.2  |
| b01002 |   400    |   medium  |       444       |   18.1  |
| b01002 |   400    |    high   |       114       |   4.7   |
| b01002 |   500    |    low    |       377       |   42.6  |
| b01002 |   500    |   medium  |       398       |   44.9  |
| b01002 |   500    |    high   |       111       |   12.5  |
| b01002 |   795    |    low    |       2212      |   58.9  |
| b01002 |   795    |   medium  |       1228      |   32.7  |
| b01002 |   795    |    high   |       315       |   8.4   |
| b01002 |   860    |    low    |      15302      |   88.6  |
| b01002 |   860    |   medium  |       1830      |   10.6  |
| b01002 |   860    |    high   |       142       |   0.8   |
| b02001 |   010    |   medium  |        1        |   10.0  |
| b02001 |   010    |    high   |        9        |   90.0  |
| b02001 |   020    |    low    |        1        |   2.6   |
| b02001 |   020    |   medium  |        6        |   15.4  |
| b02001 |   020    |    high   |        32       |   82.1  |
| b02001 |   030    |    low    |        10       |   11.8  |
| b02001 |   030    |   medium  |        14       |   16.5  |
| b02001 |   030    |    high   |        61       |   71.8  |
| b02001 |   040    |    low    |        96       |   22.8  |
| b02001 |   040    |   medium  |        97       |   23.0  |
| b02001 |   040    |    high   |       228       |   54.2  |
| b02001 |   050    |    low    |       5602      |   43.9  |
| b02001 |   050    |   medium  |       2301      |   18.0  |
| b02001 |   050    |    high   |       4845      |   38.0  |
| b02001 |   060    |    low    |      30390      |   77.1  |
| b02001 |   060    |   medium  |       5282      |   13.4  |
| b02001 |   060    |    high   |       3751      |   9.5   |
| b02001 |   140    |    low    |      86562      |   90.6  |
| b02001 |   140    |   medium  |       7732      |   8.1   |
| b02001 |   140    |    high   |       1228      |   1.3   |
| b02001 |   150    |    low    |      150951     |   95.5  |
| b02001 |   150    |   medium  |       6650      |   4.2   |
| b02001 |   150    |    high   |       462       |   0.3   |
| b02001 |   160    |    low    |      23288      |   74.2  |
| b02001 |   160    |   medium  |       3771      |   12.0  |
| b02001 |   160    |    high   |       4339      |   13.8  |
| b02001 |   170    |    low    |        9        |   28.1  |
| b02001 |   170    |   medium  |        6        |   18.8  |
| b02001 |   170    |    high   |        17       |   53.1  |
| b02001 |   250    |    low    |       657       |   85.2  |
| b02001 |   250    |   medium  |        91       |   11.8  |
