Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
+------------+-----------+-----------------+---------+
| b01001_001 |    low    |      67600      |   72.2  |
| b01001_001 |   medium  |      11288      |   12.1  |
| b01001_001 |    high   |      14728      |   15.7  |
| b01001_002 |    low    |      65756      |   85.7  |
| b01001_002 |   medium  |       7515      |   9.8   |
| b01001_002 |    high   |       3485      |   4.5   |
| b01001_003 |    low    |      50329      |   95.0  |
| b01001_003 |   medium  |       1913      |   3.6   |
| b01001_003 |    high   |       722       |   1.4   |
| b01001_004 |    low    |      50069      |   97.9  |
| b01001_004 |   medium  |       1061      |   2.1   |
| b01001_004 |    high   |        35       |   0.1   |
| b01001_005 |    low    |      50631      |   97.7  |
| b01001_005 |   medium  |       1156      |   2.2   |
| b01001_005 |    high   |        40       |   0.1   |
| b01001_006 |    low    |      43994      |   95.7  |
| b01001_006 |   medium  |       1376      |   3.0   |
| b01001_006 |    high   |       577       |   1.3   |
| b01001_007 |    low    |      33331      |   95.9  |
| b01001_007 |   medium  |       1056      |   3.0   |
| b01001_007 |    high   |       357       |   1.0   |
| b01001_008 |    low    |      18525      |   98.9  |
| b01001_008 |   medium  |       204       |   1.1   |
| b01001_008 |    high   |        11       |   0.1   |
| b01001_009 |    low    |      17847      |   98.7  |
| b01001_009 |   medium  |       219       |   1.2   |
| b01001_009 |    high   |        13       |   0.1   |
| b01001_010 |    low    |      39022      |   98.4  |
| b01001_010 |   medium  |       624       |   1.6   |
| b01001_010 |    high   |        24       |   0.1   |
| b01001_011 |    low    |      48628      |   93.9  |
| b01001_011 |   medium  |       2077      |   4.0   |
| b01001_011 |    high   |       1059      |   2.0   |
| b01001_012 |    low    |      50531      |   94.8  |
| b01001_012 |   medium  |       1887      |   3.5   |
| b01001_012 |    high   |       874       |   1.6   |
| b01001_013 |    low    |      50538      |   96.8  |
| b01001_013 |   medium  |       1571      |   3.0   |
| b01001_013 |    high   |        91       |   0.2   |
| b01001_014 |    low    |      51767      |   96.9  |
| b01001_014 |   medium  |       1564      |   2.9   |
| b01001_014 |    high   |        82       |   0.2   |
| b01001_015 |    low    |      53343      |   93.0  |
| b01001_015 |   medium  |       2636      |   4.6   |
| b01001_015 |    high   |       1381      |   2.4   |
| b01001_016 |    low    |      54269      |   92.4  |
| b01001_016 |   medium  |       2717      |   4.6   |
| b01001_016 |    high   |       1750      |   3.0   |
| b01001_017 |    low    |      51500      |   97.5  |
| b01001_017 |   medium  |       1237      |   2.3   |
| b01001_017 |    high   |        96       |   0.2   |
| b01001_018 |    low    |      35610      |   98.4  |
| b01001_018 |   medium  |       524       |   1.4   |
| b01001_018 |    high   |        44       |   0.1   |
| b01001_019 |    low    |      42401      |   97.9  |
| b01001_019 |   medium  |       854       |   2.0   |
| b01001_019 |    high   |        74       |   0.2   |
| b01001_020 |    low    |      33812      |   97.8  |
| b01001_020 |   medium  |       705       |   2.0   |
| b01001_020 |    high   |        63       |   0.2   |
| b01001_021 |    low    |      43843      |   94.9  |
| b01001_021 |   medium  |       2042      |   4.4   |
| b01001_021 |    high   |       292       |   0.6   |
| b01001_022 |    low    |      48825      |   93.9  |
| b01001_022 |   medium  |       2731      |   5.3   |
| b01001_022 |    high   |       416       |   0.8   |
| b01001_023 |    low    |      37912      |   95.9  |
| b01001_023 |   medium  |       1458      |   3.7   |
| b01001_023 |    high   |       170       |   0.4   |
| b01001_024 |    low    |      26745      |   98.6  |
| b01001_024 |   medium  |       357       |   1.3   |
| b01001_024 |    high   |        19       |   0.1   |
| b01001_025 |    low    |      20623      |   98.2  |
| b01001_025 |   medium  |       336       |   1.6   |
| b01001_025 |    high   |        32       |   0.2   |
| b01001_026 |    low    |      66113      |   85.5  |
| b01001_026 |   medium  |       7634      |   9.9   |
| b01001_026 |    high   |       3594      |   4.6   |
| b01001_027 |    low    |      49058      |   95.0  |
| b01001_027 |   medium  |       1814      |   3.5   |
| b01001_027 |    high   |       748       |   1.4   |
| b01001_028 |    low    |      50509      |   97.9  |
| b01001_028 |   medium  |       1071      |   2.1   |
| b01001_028 |    high   |        30       |   0.1   |
| b01001_029 |    low    |      50162      |   97.5  |
| b01001_029 |   medium  |       1239      |   2.4   |
| b01001_029 |    high   |        41       |   0.1   |
| b01001_030 |    low    |      43254      |   95.5  |
| b01001_030 |   medium  |       1456      |   3.2   |
| b01001_030 |    high   |       584       |   1.3   |
| b01001_031 |    low    |      30681      |   95.7  |
| b01001_031 |   medium  |       1011      |   3.2   |
| b01001_031 |    high   |       365       |   1.1   |
| b01001_032 |    low    |      17292      |   99.0  |
| b01001_032 |   medium  |       171       |   1.0   |
| b01001_032 |    high   |        12       |   0.1   |
| b01001_033 |    low    |      17163      |   99.0  |
| b01001_033 |   medium  |       166       |   1.0   |
| b01001_033 |    high   |        2        |   0.0   |
| b01001_034 |    low    |      39387      |   98.1  |
| b01001_034 |   medium  |       713       |   1.8   |
| b01001_034 |    high   |        30       |   0.1   |
| b01001_035 |    low    |      50102      |   94.5  |
| b01001_035 |   medium  |       1974      |   3.7   |
| b01001_035 |    high   |       963       |   1.8   |
| b01001_036 |    low    |      51946      |   94.8  |
| b01001_036 |   medium  |       1950      |   3.6   |
| b01001_036 |    high   |       914       |   1.7   |
| b01001_037 |    low    |      52114      |   96.9  |
| b01001_037 |   medium  |       1592      |   3.0   |
| b01001_037 |    high   |        97       |   0.2   |
| b01001_038 |    low    |      53441      |   96.8  |
| b01001_038 |   medium  |       1641      |   3.0   |
| b01001_038 |    high   |        99       |   0.2   |
| b01001_039 |    low    |      54332      |   92.5  |
| b01001_039 |   medium  |       2704      |   4.6   |
| b01001_039 |    high   |       1697      |   2.9   |
| b01001_040 |    low    |      55605      |   91.8  |
| b01001_040 |   medium  |       3011      |   5.0   |
| b01001_040 |    high   |       1946      |   3.2   |
| b01001_041 |    low    |      51930      |   97.5  |
| b01001_041 |   medium  |       1243      |   2.3   |
