Coefficient of Variation for Change: (sorted for estimates of high and medium precision combined): Percent Total by Variable

+------------+-----------------+---------+
|  variable  | change_cv_count | percent |
+------------+-----------------+---------+
| b08006_010 |       5688      |   51.5  |
| b08006_011 |       6928      |   48.9  |
| b05002_001 |      23261      |   41.6  |
| b08006_012 |       3975      |   37.9  |
| b07204_001 |      18715      |   35.4  |
| b25077_001 |      40735      |   33.4  |
| b14001_001 |      16158      |   31.5  |
| b01001_001 |      26016      |   27.8  |
| b03002_001 |      26016      |   27.8  |
| b02001_001 |      26016      |   27.8  |
| b05002_002 |      12954      |   27.0  |
| b14001_010 |      12490      |   25.6  |
| b25064_001 |      15285      |   22.4  |
| c17002_001 |      19398      |   21.7  |
| b08006_001 |      10104      |   21.6  |
| b25002_001 |      18092      |   21.5  |
| b07204_002 |       8864      |   20.0  |
| b23025_001 |      17038      |   19.7  |
| b25063_023 |       5229      |   19.7  |
| b15002_001 |      16958      |   19.5  |
| b26001_001 |       1031      |   19.3  |
| b03002_002 |      16342      |   19.2  |
| b08006_002 |       7910      |   18.3  |
| b08006_003 |       7642      |   17.9  |
| b25002_002 |      13870      |   17.3  |
| b25003_001 |      13870      |   17.3  |
| b19001_001 |      13870      |   17.3  |
| b11001_001 |      13870      |   17.3  |
| b25063_022 |       7207      |   16.8  |
| b02001_002 |      13591      |   16.1  |
| b13002_001 |       5912      |   16.1  |
| b15002_019 |      12491      |   16.1  |
| b19001_017 |      10610      |   16.1  |
| b03002_003 |      12335      |   15.5  |
| c24030_001 |      12603      |   15.0  |
| c17002_008 |      12882      |   15.0  |
| b23025_004 |      12603      |   15.0  |
| b15002_002 |      11535      |   15.0  |
| b03002_012 |       9178      |   14.8  |
| b01001_026 |      11228      |   14.5  |
| b01001_002 |      11000      |   14.3  |
| b19013_001 |       8730      |   13.6  |
| b13002_011 |       4879      |   13.6  |
| b01002_001 |       9081      |   13.4  |
| b05002_003 |       5006      |   13.2  |
| b23025_005 |      12957      |   12.8  |
| b14001_002 |       4800      |   12.7  |
| b01002_003 |       7559      |   12.5  |
| b01002_002 |       7180      |   12.3  |
| b08006_013 |        64       |   12.3  |
| b25063_021 |       4905      |   12.3  |
| b23025_002 |       9462      |   12.2  |
| b23025_003 |       9340      |   12.1  |
| b03002_018 |       4144      |   12.0  |
| b25063_020 |       6175      |   11.9  |
| b02001_007 |       4217      |   11.7  |
| c24030_002 |       8833      |   11.7  |
| b03002_013 |       6127      |   11.0  |
| b11001_002 |       7603      |   10.9  |
| b03002_006 |       3709      |   10.8  |
| b25003_002 |       7264      |   10.6  |
| b02001_005 |       3649      |   10.5  |
| c24030_029 |       7535      |   10.3  |
| b05002_014 |       2562      |   10.3  |
| b05002_004 |       3449      |   10.1  |
| b19001_016 |       5927      |   10.0  |
| b03002_007 |       322       |   9.9   |
| b05002_013 |       2614      |   9.6   |
| b08006_017 |       2917      |   9.4   |
| b23025_007 |       6679      |   9.4   |
| b02001_006 |       308       |   8.9   |
| b25010_003 |       6215      |   8.9   |
| b03002_004 |       3659      |   8.6   |
| b11001_003 |       5619      |   8.6   |
| b02001_003 |       3787      |   8.6   |
| b25063_002 |       5625      |   8.5   |
