Statistically Significant Difference: Percent Total by All Categories

+------------+--------+----------+---------+---------------+---------+
|  variable  | table  | sumlevel | sig_dif | sig_dif_count | percent |
+------------+--------+----------+---------+---------------+---------+
| b01001_001 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_001 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_001 | b01001 |   030    |   True  |       9       |  100.0  |
| b01001_001 | b01001 |   040    |   True  |       52      |  100.0  |
| b01001_001 | b01001 |   050    |  False  |      102      |   3.2   |
| b01001_001 | b01001 |   050    |   True  |      3118     |   96.8  |
| b01001_001 | b01001 |   060    |  False  |     25145     |   68.8  |
| b01001_001 | b01001 |   060    |   True  |     11399     |   31.2  |
| b01001_001 | b01001 |   140    |  False  |     55528     |   75.4  |
| b01001_001 | b01001 |   140    |   True  |     18114     |   24.6  |
| b01001_001 | b01001 |   150    |  False  |     182407    |   82.9  |
| b01001_001 | b01001 |   150    |   True  |     37567     |   17.1  |
| b01001_001 | b01001 |   160    |  False  |     20294     |   68.8  |
| b01001_001 | b01001 |   160    |   True  |      9216     |   31.2  |
| b01001_001 | b01001 |   170    |  False  |       1       |   12.5  |
| b01001_001 | b01001 |   170    |   True  |       7       |   87.5  |
| b01001_001 | b01001 |   250    |  False  |      553      |   79.8  |
| b01001_001 | b01001 |   250    |   True  |      140      |   20.2  |
| b01001_001 | b01001 |   251    |  False  |      383      |   79.8  |
| b01001_001 | b01001 |   251    |   True  |       97      |   20.2  |
| b01001_001 | b01001 |   256    |  False  |      386      |   80.2  |
| b01001_001 | b01001 |   256    |   True  |       95      |   19.8  |
| b01001_001 | b01001 |   258    |  False  |      748      |   81.7  |
| b01001_001 | b01001 |   258    |   True  |      167      |   18.3  |
| b01001_001 | b01001 |   310    |   True  |      796      |  100.0  |
| b01001_001 | b01001 |   400    |  False  |      2153     |   59.9  |
| b01001_001 | b01001 |   400    |   True  |      1439     |   40.1  |
| b01001_001 | b01001 |   500    |  False  |       31      |   8.4   |
| b01001_001 | b01001 |   500    |   True  |      337      |   91.6  |
| b01001_001 | b01001 |   795    |  False  |      343      |   14.4  |
| b01001_001 | b01001 |   795    |   True  |      2035     |   85.6  |
| b01001_001 | b01001 |   860    |  False  |     24097     |   72.8  |
| b01001_001 | b01001 |   860    |   True  |      9023     |   27.2  |
| b01001_002 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_002 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_002 | b01001 |   030    |   True  |       9       |  100.0  |
