Statistically Significant Difference: Percent Total by Table and Summary Level

+--------+----------+---------+---------------+---------+
| table  | sumlevel | sig_dif | sig_dif_count | percent |
+--------+----------+---------+---------------+---------+
| b01001 |   010    |  False  |       2       |   4.1   |
| b01001 |   010    |   True  |       47      |   95.9  |
| b01001 |   020    |  False  |       8       |   4.1   |
| b01001 |   020    |   True  |      188      |   95.9  |
| b01001 |   030    |  False  |       30      |   6.8   |
| b01001 |   030    |   True  |      411      |   93.2  |
| b01001 |   040    |  False  |      467      |   18.3  |
| b01001 |   040    |   True  |      2081     |   81.7  |
| b01001 |   050    |  False  |     99967     |   63.4  |
| b01001 |   050    |   True  |     57811     |   36.6  |
| b01001 |   050    |   nan   |       2       |   0.0   |
| b01001 |   060    |  False  |    1574445    |   87.9  |
| b01001 |   060    |   True  |     216211    |   12.1  |
| b01001 |   140    |  False  |    3095179    |   85.8  |
| b01001 |   140    |   True  |     513278    |   14.2  |
| b01001 |   140    |   nan   |       1       |   0.0   |
| b01001 |   150    |  False  |    9789641    |   90.8  |
| b01001 |   150    |   True  |     989085    |   9.2   |
| b01001 |   160    |  False  |    1294243    |   89.5  |
| b01001 |   160    |   True  |     151747    |   10.5  |
| b01001 |   170    |  False  |      200      |   51.0  |
| b01001 |   170    |   True  |      192      |   49.0  |
| b01001 |   250    |  False  |     30641     |   90.2  |
| b01001 |   250    |   True  |      3316     |   9.8   |
| b01001 |   251    |  False  |     21232     |   90.3  |
| b01001 |   251    |   True  |      2288     |   9.7   |
| b01001 |   256    |  False  |     20846     |   88.4  |
| b01001 |   256    |   True  |      2723     |   11.6  |
| b01001 |   258    |  False  |     39887     |   89.0  |
| b01001 |   258    |   True  |      4948     |   11.0  |
| b01001 |   310    |  False  |     21847     |   56.0  |
| b01001 |   310    |   True  |     17157     |   44.0  |
| b01001 |   400    |  False  |     142185    |   80.8  |
| b01001 |   400    |   True  |     33823     |   19.2  |
| b01001 |   500    |  False  |      7174     |   39.8  |
| b01001 |   500    |   True  |     10858     |   60.2  |
| b01001 |   795    |  False  |     73313     |   62.9  |
| b01001 |   795    |   True  |     43209     |   37.1  |
| b01001 |   860    |  False  |    1409900    |   86.9  |
| b01001 |   860    |   True  |     212980    |   13.1  |
| b01002 |   010    |   True  |       3       |  100.0  |
| b01002 |   020    |   True  |       12      |  100.0  |
| b01002 |   030    |   True  |       27      |  100.0  |
| b01002 |   040    |  False  |       12      |   7.7   |
| b01002 |   040    |   True  |      144      |   92.3  |
| b01002 |   050    |  False  |      4471     |   46.3  |
| b01002 |   050    |   True  |      5189     |   53.7  |
| b01002 |   060    |  False  |     87111     |   79.5  |
| b01002 |   060    |   True  |     17805     |   16.2  |
| b01002 |   060    |   nan   |      4716     |   4.3   |
| b01002 |   140    |  False  |     184536    |   83.5  |
| b01002 |   140    |   True  |     35038     |   15.9  |
| b01002 |   140    |   nan   |      1352     |   0.6   |
| b01002 |   150    |  False  |     567834    |   86.0  |
| b01002 |   150    |   True  |     88894     |   13.5  |
| b01002 |   150    |   nan   |      3194     |   0.5   |
| b01002 |   160    |  False  |     72864     |   82.3  |
| b01002 |   160    |   True  |     12794     |   14.5  |
| b01002 |   160    |   nan   |      2872     |   3.2   |
| b01002 |   170    |  False  |       10      |   41.7  |
| b01002 |   170    |   True  |       14      |   58.3  |
| b01002 |   250    |  False  |      1487     |   71.5  |
| b01002 |   250    |   True  |      282      |   13.6  |
| b01002 |   250    |   nan   |      310      |   14.9  |
| b01002 |   251    |  False  |      1025     |   71.2  |
| b01002 |   251    |   True  |      209      |   14.5  |
| b01002 |   251    |   nan   |      206      |   14.3  |
| b01002 |   256    |  False  |      1080     |   74.8  |
| b01002 |   256    |   True  |      220      |   15.2  |
| b01002 |   256    |   nan   |      143      |   9.9   |
| b01002 |   258    |  False  |      2183     |   79.5  |
| b01002 |   258    |   True  |      395      |   14.4  |
| b01002 |   258    |   nan   |      167      |   6.1   |
| b01002 |   310    |  False  |      883      |   37.0  |
| b01002 |   310    |   True  |      1505     |   63.0  |
| b01002 |   400    |  False  |      8325     |   77.3  |
| b01002 |   400    |   True  |      2451     |   22.7  |
| b01002 |   500    |  False  |      218      |   19.7  |
| b01002 |   500    |   True  |      886      |   80.3  |
| b01002 |   795    |  False  |      3379     |   47.4  |
| b01002 |   795    |   True  |      3755     |   52.6  |
| b01002 |   860    |  False  |     79029     |   79.5  |
| b01002 |   860    |   True  |     17274     |   17.4  |
| b01002 |   860    |   nan   |      3057     |   3.1   |
| b02001 |   010    |   True  |       10      |  100.0  |
| b02001 |   020    |  False  |       1       |   2.5   |
| b02001 |   020    |   True  |       39      |   97.5  |
| b02001 |   030    |  False  |       5       |   5.6   |
| b02001 |   030    |   True  |       85      |   94.4  |
| b02001 |   040    |  False  |       99      |   19.0  |
| b02001 |   040    |   True  |      421      |   81.0  |
| b02001 |   050    |  False  |     19452     |   60.4  |
| b02001 |   050    |   True  |     12748     |   39.6  |
| b02001 |   060    |  False  |     326017    |   89.2  |
| b02001 |   060    |   True  |     39423     |   10.8  |
| b02001 |   140    |  False  |     640898    |   87.0  |
| b02001 |   140    |   True  |     95522     |   13.0  |
| b02001 |   150    |  False  |    2041677    |   92.8  |
| b02001 |   150    |   True  |     158063    |   7.2   |
| b02001 |   160    |  False  |     263702    |   89.4  |
| b02001 |   160    |   True  |     31398     |   10.6  |
| b02001 |   170    |  False  |       48      |   60.0  |
| b02001 |   170    |   True  |       32      |   40.0  |
| b02001 |   250    |  False  |      6159     |   88.9  |
| b02001 |   250    |   True  |      771      |   11.1  |
| b02001 |   251    |  False  |      4327     |   90.1  |
| b02001 |   251    |   True  |      473      |   9.9   |
| b02001 |   256    |  False  |      4259     |   88.5  |
| b02001 |   256    |   True  |      551      |   11.5  |
| b02001 |   258    |  False  |      8311     |   90.8  |
| b02001 |   258    |   True  |      839      |   9.2   |
| b02001 |   310    |  False  |      4247     |   53.4  |
| b02001 |   310    |   True  |      3713     |   46.6  |
| b02001 |   400    |  False  |     28271     |   78.7  |
| b02001 |   400    |   True  |      7649     |   21.3  |
| b02001 |   500    |  False  |      1383     |   37.6  |
| b02001 |   500    |   True  |      2297     |   62.4  |
| b02001 |   795    |  False  |     13350     |   56.1  |
| b02001 |   795    |   True  |     10430     |   43.9  |
| b02001 |   860    |  False  |     289634    |   87.4  |
| b02001 |   860    |   True  |     41566     |   12.6  |
| b03002 |   010    |   True  |       21      |  100.0  |
| b03002 |   020    |  False  |       5       |   6.0   |
| b03002 |   020    |   True  |       79      |   94.0  |
| b03002 |   030    |  False  |       19      |   10.1  |
| b03002 |   030    |   True  |      170      |   89.9  |
| b03002 |   040    |  False  |      325      |   29.8  |
| b03002 |   040    |   True  |      767      |   70.2  |
| b03002 |   050    |  False  |     45231     |   66.9  |
| b03002 |   050    |   True  |     22379     |   33.1  |
| b03002 |   050    |   nan   |       10      |   0.0   |
| b03002 |   060    |  False  |     707434    |   92.2  |
| b03002 |   060    |   True  |     59990     |   7.8   |
| b03002 |   140    |  False  |    1402020    |   90.7  |
| b03002 |   140    |   True  |     144460    |   9.3   |
| b03002 |   140    |   nan   |       2       |   0.0   |
| b03002 |   150    |  False  |    4378375    |   94.8  |
| b03002 |   150    |   True  |     241079    |   5.2   |
| b03002 |   160    |  False  |     571808    |   92.3  |
| b03002 |   160    |   True  |     47902     |   7.7   |
| b03002 |   170    |  False  |      108      |   64.3  |
| b03002 |   170    |   True  |       60      |   35.7  |
| b03002 |   250    |  False  |     13379     |   91.9  |
| b03002 |   250    |   True  |      1174     |   8.1   |
| b03002 |   251    |  False  |      9400     |   93.3  |
| b03002 |   251    |   True  |      680      |   6.7   |
| b03002 |   256    |  False  |      9246     |   91.5  |
| b03002 |   256    |   True  |      855      |   8.5   |
| b03002 |   258    |  False  |     17940     |   93.4  |
| b03002 |   258    |   True  |      1275     |   6.6   |
| b03002 |   310    |  False  |     10012     |   59.9  |
| b03002 |   310    |   True  |      6703     |   40.1  |
| b03002 |   310    |   nan   |       1       |   0.0   |
| b03002 |   400    |  False  |     63116     |   83.7  |
| b03002 |   400    |   True  |     12316     |   16.3  |
| b03002 |   500    |  False  |      3697     |   47.8  |
| b03002 |   500    |   True  |      4031     |   52.2  |
| b03002 |   795    |  False  |     32093     |   64.3  |
| b03002 |   795    |   True  |     17845     |   35.7  |
| b03002 |   860    |  False  |     630646    |   90.7  |
| b03002 |   860    |   True  |     64874     |   9.3   |
| b05002 |   010    |  False  |       1       |   6.7   |
| b05002 |   010    |   True  |       14      |   93.3  |
| b05002 |   020    |  False  |       5       |   8.3   |
| b05002 |   020    |   True  |       55      |   91.7  |
| b05002 |   030    |  False  |       15      |   11.1  |
| b05002 |   030    |   True  |      120      |   88.9  |
| b05002 |   040    |  False  |      195      |   25.0  |
| b05002 |   040    |   True  |      585      |   75.0  |
| b05002 |   050    |  False  |     33188     |   68.7  |
| b05002 |   050    |   True  |     15112     |   31.3  |
| b05002 |   060    |  False  |     483931    |   88.3  |
| b05002 |   060    |   True  |     64229     |   11.7  |
| b05002 |   140    |  False  |     948821    |   85.9  |
| b05002 |   140    |   True  |     155809    |   14.1  |
| b05002 |   160    |  False  |     391852    |   88.5  |
| b05002 |   160    |   True  |     50798     |   11.5  |
| b05002 |   170    |  False  |       77      |   64.2  |
| b05002 |   170    |   True  |       43      |   35.8  |
| b05002 |   250    |  False  |      9496     |   91.4  |
| b05002 |   250    |   True  |      899      |   8.6   |
| b05002 |   251    |  False  |      6629     |   92.1  |
| b05002 |   251    |   True  |      571      |   7.9   |
| b05002 |   256    |  False  |      6540     |   90.6  |
| b05002 |   256    |   True  |      675      |   9.4   |
| b05002 |   310    |  False  |      7471     |   62.6  |
| b05002 |   310    |   True  |      4469     |   37.4  |
| b05002 |   400    |  False  |     43303     |   80.4  |
| b05002 |   400    |   True  |     10577     |   19.6  |
| b05002 |   500    |  False  |      2380     |   43.1  |
| b05002 |   500    |   True  |      3140     |   56.9  |
| b05002 |   795    |  False  |     21732     |   60.9  |
| b05002 |   795    |   True  |     13938     |   39.1  |
| b05002 |   860    |  False  |     430836    |   86.7  |
| b05002 |   860    |   True  |     65964     |   13.3  |
| b07204 |   010    |  False  |       1       |   5.3   |
| b07204 |   010    |   True  |       18      |   94.7  |
| b07204 |   020    |  False  |       14      |   18.4  |
| b07204 |   020    |   True  |       62      |   81.6  |
| b07204 |   030    |  False  |       43      |   25.1  |
| b07204 |   030    |   True  |      128      |   74.9  |
| b07204 |   040    |  False  |      454      |   46.0  |
| b07204 |   040    |   True  |      515      |   52.1  |
| b07204 |   040    |   nan   |       19      |   1.9   |
| b07204 |   050    |  False  |     46380     |   75.8  |
| b07204 |   050    |   True  |     13318     |   21.8  |
| b07204 |   050    |   nan   |      1482     |   2.4   |
| b07204 |   060    |  False  |     621977    |   89.6  |
| b07204 |   060    |   True  |     54518     |   7.9   |
| b07204 |   060    |   nan   |     17841     |   2.6   |
| b07204 |   140    |  False  |    1249773    |   89.3  |
