"table"	"sumlevel"	"change_cv_count"	"percent"
"b25077"	"860"	4392	42.4
"b25064"	"860"	1815	28.5
"b23025"	"860"	9903	19.2
"b25002"	"860"	4044	18.9
"b26001"	"860"	192	18.6
"b19013"	"860"	1084	16.2
"b25003"	"860"	3185	16.0
"b02001"	"860"	5974	14.4
"b08006"	"860"	8679	14.1
"b03002"	"860"	8678	13.3
"b01002"	"860"	1972	11.4
"b25063"	"860"	7298	11.3
"b14001"	"860"	5754	10.7
"b05002"	"860"	6944	10.5
"c17002"	"860"	4562	10.4
"b11001"	"860"	4498	9.6
"b07204"	"860"	5279	8.9
"b19001"	"860"	6619	7.6
"b15002"	"860"	8034	6.6
"b25010"	"860"	982	6.0
"c24030"	"860"	5627	5.4
"b01001"	"860"	10552	5.0
"b19083"	"860"	250	4.5
"b13002"	"860"	2586	4.3
"b25070"	"860"	1084	3.2
"b25077"	"795"	1471	78.0
"b23025"	"795"	7338	66.6
"b25002"	"795"	2687	60.5
"b25064"	"795"	780	56.2
"b25003"	"795"	1952	49.8
"b19013"	"795"	809	48.4
"b02001"	"795"	4701	45.0
"b14001"	"795"	4390	44.1
"b03002"	"795"	7799	43.7
"c17002"	"795"	3186	42.6
"b08006"	"795"	5892	41.3
"b01002"	"795"	1543	41.1
"b05002"	"795"	5426	38.9
"b19001"	"795"	6260	35.0
"b11001"	"795"	2888	33.4
"b07204"	"795"	3933	31.6
"b01001"	"795"	13014	30.1
"b25063"	"795"	6044	30.1
"b15002"	"795"	7807	28.0
"b13002"	"795"	3065	24.8
"c24030"	"795"	4819	24.0
"b25010"	"795"	446	18.5
"b26001"	"795"	35	14.5
"b25070"	"795"	771	12.1
"b19083"	"795"	49	8.6
"b25077"	"500"	300	90.4
"b19013"	"500"	304	87.9
"b23025"	"500"	1703	83.9
"b25002"	"500"	703	78.1
"b25064"	"500"	216	74.2
"b25003"	"500"	588	70.4
"b19001"	"500"	2662	61.3
"b02001"	"500"	1369	59.6
"b08006"	"500"	1817	58.2
"b14001"	"500"	1225	58.1
"b01002"	"500"	509	57.4
"b05002"	"500"	1746	55.6
"b03002"	"500"	2220	55.1
"b25063"	"500"	2766	54.2
"b01001"	"500"	5825	53.6
"b11001"	"500"	1074	53.2
"c17002"	"500"	932	53.0
"b15002"	"500"	3220	46.1
"b13002"	"500"	1241	43.0
"b07204"	"500"	1133	42.6
"c24030"	"500"	2124	42.3
"b25070"	"500"	464	27.9
"b25010"	"500"	133	26.9
"b26001"	"500"	16	18.8
"b19083"	"500"	28	17.8
"b25077"	"400"	553	41.5
"b23025"	"400"	2217	30.6
"b25064"	"400"	241	27.8
"b25002"	"400"	724	26.4
"b19013"	"400"	238	25.5
"b02001"	"400"	1833	23.9
"b03002"	"400"	2923	23.7
"b01002"	"400"	558	22.8
"b25003"	"400"	571	22.3
"b26001"	"400"	52	21.6
"b14001"	"400"	1560	19.1
"b05002"	"400"	1961	18.6
"b08006"	"400"	1605	18.4
"c17002"	"400"	1077	16.8
"b25063"	"400"	2066	15.7
"b11001"	"400"	955	14.9
"b19001"	"400"	1894	14.9
"b07204"	"400"	1494	14.5
"b01001"	"400"	4827	14.3
"b15002"	"400"	2610	13.3
"c24030"	"400"	1816	11.5
"b13002"	"400"	1021	10.9
"b25010"	"400"	175	8.4
"b25070"	"400"	431	7.0
"b19083"	"400"	27	4.5
"b23025"	"310"	2100	63.8
"b03002"	"310"	4227	63.1
"b25002"	"310"	862	59.5
"b02001"	"310"	2126	57.2
"b25077"	"310"	274	55.2
"b01002"	"310"	826	54.9
"b01001"	"310"	8399	48.9
"b05002"	"310"	2188	48.9
"b14001"	"310"	1674	47.5
"b25003"	"310"	489	45.1
"b19013"	"310"	200	44.7
"c17002"	"310"	1040	43.2
"b25064"	"310"	133	41.2
"b13002"	"310"	1620	36.3
"b07204"	"310"	1434	34.5
"b08006"	"310"	1275	34.3
"b15002"	"310"	3101	34.3
"b19001"	"310"	1916	34.3
"b11001"	"310"	842	33.8
"b25063"	"310"	1584	27.5
"c24030"	"310"	1546	25.7
"b25010"	"310"	160	19.7
"b25070"	"310"	341	16.5
"b26001"	"310"	17	15.9
"b19083"	"310"	21	12.4
"b25077"	"258"	48	23.8
"b25064"	"258"	22	16.3
"b25002"	"258"	66	12.3
"b19013"	"258"	15	12.0
"b01002"	"258"	46	11.6
"b23025"	"258"	103	9.2
"b25003"	"258"	37	7.6
"b25010"	"258"	28	6.8
"b11001"	"258"	77	6.5
"b02001"	"258"	53	6.3
"b03002"	"258"	65	5.1
"b25063"	"258"	38	4.0
"c17002"	"258"	38	3.5
"b15002"	"258"	75	3.1
"b25070"	"258"	22	3.0
"c24030"	"258"	54	2.9
"b01001"	"258"	130	2.6
"b19001"	"258"	40	2.4
"b25077"	"256"	41	35.4
"b25002"	"256"	59	19.7
"b19013"	"256"	14	18.9
"b25064"	"256"	14	18.2
"b23025"	"256"	95	15.0
"b25003"	"256"	39	14.6
"b25010"	"256"	24	12.7
"b26001"	"256"	1	11.1
"b02001"	"256"	52	9.4
"b11001"	"256"	57	9.3
