"vartype"	"sumlevel"	"change_cv_count"	"percent"
"universe"	"030"	99	100.0
"universe"	"020"	44	100.0
"universe"	"010"	11	100.0
"universe"	"040"	557	98.2
"universe"	"500"	2998	88.0
"universe"	"170"	56	87.5
"universe"	"310"	5394	81.6
"universe"	"050"	17673	76.0
"universe"	"795"	14240	75.5
"universe"	"400"	4211	34.4
"universe"	"160"	22771	32.9
"universe"	"060"	23446	26.9
"universe"	"860"	19236	22.8
"universe"	"140"	33624	18.6
"universe"	"250"	236	17.9
"universe"	"256"	101	10.4
"universe"	"251"	76	8.5
"universe"	"258"	84	8.4
"universe"	"150"	18435	8.3
"summary"	"010"	7	100.0
"summary"	"030"	67	91.7
"summary"	"020"	30	91.0
"summary"	"040"	305	76.6
"summary"	"500"	1490	59.4
"summary"	"795"	5098	43.6
"summary"	"310"	1614	42.9
"summary"	"050"	4549	36.6
"summary"	"170"	15	34.9
"summary"	"400"	1792	21.7
"summary"	"860"	10495	16.7
"summary"	"250"	152	16.2
"summary"	"256"	116	15.2
"summary"	"160"	6806	14.8
"summary"	"140"	20564	14.5
"summary"	"150"	41277	13.2
"summary"	"060"	7760	12.9
"summary"	"258"	159	12.5
"summary"	"251"	87	12.3
"estimate"	"010"	265	97.5
"estimate"	"020"	966	91.0
"estimate"	"030"	1979	86.3
"estimate"	"040"	7660	71.7
"estimate"	"500"	27755	49.6
"estimate"	"170"	389	44.4
"estimate"	"310"	28027	36.7
"estimate"	"050"	72653	29.8
"estimate"	"795"	68333	29.7
"estimate"	"400"	24551	14.2
"estimate"	"250"	1565	9.9
"estimate"	"160"	57387	7.9
"estimate"	"860"	76485	7.1
"estimate"	"060"	68788	6.9
"estimate"	"256"	776	6.0
"estimate"	"251"	479	4.6
"estimate"	"140"	110470	4.4
"estimate"	"258"	632	3.8
"estimate"	"150"	70351	2.1
