"table"	"sig_dif"	"sig_dif_count"	"percent"
"b25077"	True	122125	30.1
"b25002"	True	222413	18.3
"b25003"	True	215219	17.7
"b23025"	True	501004	17.6
"b14001"	True	314233	17.0
"b25064"	True	67998	16.8
"b19083"	True	30812	16.7
"b25010"	True	195951	16.1
"b19013"	True	64315	15.8
"b01002"	True	186897	15.4
"b11001"	True	524814	14.4
"b05002"	True	386998	14.0
"c17002"	True	440367	13.6
"b19001"	True	850261	12.3
"b01001"	True	2262353	11.4
"b08006"	True	339638	10.8
"b02001"	True	406030	10.0
"b13002"	True	346752	9.9
"b07204"	True	336426	9.6
"c24030"	True	1035052	8.8
"b15002"	True	1162736	8.2
"b25070"	True	339409	7.6
"b03002"	True	626660	7.4
"b25063"	True	568913	5.8
"b26001"	True	5364	2.9
