"table"	"sumlevel"	"sig_dif"	"sig_dif_count"	"percent"
"b25077"	"860"	True	10381	31.3
"b23025"	"860"	True	51585	22.3
"b25002"	"860"	True	21349	21.5
"b19013"	"860"	True	6698	20.2
"b25003"	"860"	True	20002	20.1
"b25064"	"860"	True	6373	19.2
"b01002"	"860"	True	17274	17.4
"b19083"	"860"	True	5571	16.8
"c17002"	"860"	True	43683	16.5
"b25010"	"860"	True	16344	16.4
"b14001"	"860"	True	53724	16.2
"b11001"	"860"	True	47060	15.8
"b19001"	"860"	True	86415	15.3
"b05002"	"860"	True	65964	13.3
"b01001"	"860"	True	212980	13.1
"b02001"	"860"	True	41566	12.6
"b08006"	"860"	True	61567	10.9
"c24030"	"860"	True	103333	10.8
"b15002"	"860"	True	122365	10.6
"b13002"	"860"	True	60246	9.6
"b07204"	"860"	True	59731	9.5
"b03002"	"860"	True	64874	9.3
"b25070"	"860"	True	33596	9.2
"b25063"	"860"	True	64986	8.2
"b26001"	"860"	True	1032	3.1
"b25077"	"795"	True	1887	79.4
"b19013"	"795"	True	1670	70.2
"b23025"	"795"	True	11018	66.2
"b25002"	"795"	True	4440	62.2
"b25064"	"795"	True	1387	58.3
"b25003"	"795"	True	3918	54.9
"b01002"	"795"	True	3755	52.6
"b19001"	"795"	True	17897	44.3
"b02001"	"795"	True	10430	43.9
"b14001"	"795"	True	9944	41.8
"b11001"	"795"	True	8639	40.4
"c17002"	"795"	True	7485	39.3
"b05002"	"795"	True	13938	39.1
"b01001"	"795"	True	43209	37.1
"b03002"	"795"	True	17845	35.7
"b08006"	"795"	True	14252	35.3
"b25063"	"795"	True	20129	35.3
"b25010"	"795"	True	2410	33.8
"b15002"	"795"	True	27839	33.4
"c24030"	"795"	True	20033	29.0
"b07204"	"795"	True	12438	27.5
"b13002"	"795"	True	12353	27.3
"b25070"	"795"	True	6410	24.5
"b19083"	"795"	True	571	24.0
"b26001"	"795"	True	241	10.1
"b19013"	"500"	True	346	94.0
"b25077"	"500"	True	332	90.2
"b25002"	"500"	True	900	81.5
"b01002"	"500"	True	886	80.3
"b25064"	"500"	True	291	79.1
"b23025"	"500"	True	2031	78.8
"b25003"	"500"	True	836	75.7
"b19001"	"500"	True	4347	69.5
"b02001"	"500"	True	2297	62.4
"b11001"	"500"	True	2021	61.0
"b01001"	"500"	True	10858	60.2
"c17002"	"500"	True	1759	59.7
"b25063"	"500"	True	5101	57.8
"b14001"	"500"	True	2107	57.3
"b05002"	"500"	True	3140	56.9
"b15002"	"500"	True	6986	54.2
"b03002"	"500"	True	4031	52.2
"b08006"	"500"	True	3119	49.9
"c24030"	"500"	True	5014	47.0
"b25010"	"500"	True	494	44.7
"b19083"	"500"	True	157	42.7
"b13002"	"500"	True	2885	41.3
"b25070"	"500"	True	1660	41.0
"b07204"	"500"	True	2660	38.0
"b26001"	"500"	True	85	23.1
"b25077"	"400"	True	1331	37.1
"b23025"	"400"	True	7247	28.8
"b19013"	"400"	True	936	26.1
"b25002"	"400"	True	2740	25.4
"b25064"	"400"	True	866	24.1
"b25003"	"400"	True	2564	23.8
"b14001"	"400"	True	8197	22.8
"b01002"	"400"	True	2451	22.7
"c17002"	"400"	True	6393	22.2
"b02001"	"400"	True	7649	21.3
"b19001"	"400"	True	12718	20.8
"b11001"	"400"	True	6397	19.8
"b05002"	"400"	True	10577	19.6
"b01001"	"400"	True	33823	19.2
"b25010"	"400"	True	2071	19.2
"b19083"	"400"	True	606	16.9
"b03002"	"400"	True	12316	16.3
"b15002"	"400"	True	19670	15.6
"b25070"	"400"	True	6174	15.6
"b25063"	"400"	True	13139	15.2
"c24030"	"400"	True	15792	15.2
"b07204"	"400"	True	10261	15.0
"b08006"	"400"	True	8739	14.3
"b13002"	"400"	True	9423	13.8
"b26001"	"400"	True	241	6.7
"b01002"	"310"	True	1505	63.0
"b25077"	"310"	True	497	62.4
"b25002"	"310"	True	1450	60.7
"b23025"	"310"	True	3290	59.0
"b19013"	"310"	True	447	56.2
"b02001"	"310"	True	3713	46.6
"b25003"	"310"	True	1083	45.4
"b14001"	"310"	True	3526	44.3
"b01001"	"310"	True	17157	44.0
"b19001"	"310"	True	5585	41.3
"b25064"	"310"	True	323	40.6
"b03002"	"310"	True	6703	40.1
"c17002"	"310"	True	2408	37.8
"b05002"	"310"	True	4469	37.4
"b11001"	"310"	True	2488	34.7
"b25010"	"310"	True	814	34.1
"b15002"	"310"	True	9041	32.5
"b25063"	"310"	True	5765	30.2
"b13002"	"310"	True	4464	29.5
"b08006"	"310"	True	3716	27.5
"b07204"	"310"	True	4151	27.4
"c24030"	"310"	True	6018	26.1
"b25070"	"310"	True	2074	23.7
"b19083"	"310"	True	169	21.2
"b26001"	"310"	True	107	13.4
"b25077"	"258"	True	202	22.1
"b25002"	"258"	True	536	19.5
"b25003"	"258"	True	486	17.7
"b23025"	"258"	True	1118	17.5
"b25010"	"258"	True	414	15.1
"b25064"	"258"	True	135	14.8
"c17002"	"258"	True	1084	14.8
"b11001"	"258"	True	1193	14.5
"b01002"	"258"	True	395	14.4
"b19013"	"258"	True	125	13.7
"b19001"	"258"	True	1722	11.1
"b01001"	"258"	True	4948	11.0
"b02001"	"258"	True	839	9.2
"b15002"	"258"	True	2354	7.4
"b25070"	"258"	True	730	7.3
"c24030"	"258"	True	1882	7.1
"b03002"	"258"	True	1275	6.6
"b25063"	"258"	True	941	4.3
"b25077"	"256"	True	116	24.1
"b25002"	"256"	True	298	20.7
"b23025"	"256"	True	633	18.8
"b25003"	"256"	True	268	18.6
"b19083"	"256"	True	86	17.9
"b25064"	"256"	True	77	16.0
"b19013"	"256"	True	74	15.4
"b01002"	"256"	True	220	15.2
"c17002"	"256"	True	564	14.7
"b11001"	"256"	True	615	14.2
"b14001"	"256"	True	660	13.7
"b25010"	"256"	True	189	13.1
"b19001"	"256"	True	962	11.8
"b01001"	"256"	True	2723	11.6
"b02001"	"256"	True	551	11.5
"b05002"	"256"	True	675	9.4
"b25070"	"256"	True	481	9.1
"b15002"	"256"	True	1454	8.6
"b03002"	"256"	True	855	8.5
"b08006"	"256"	True	689	8.4
"b13002"	"256"	True	754	8.3
"c24030"	"256"	True	1140	8.2
"b07204"	"256"	True	732	8.0
"b25063"	"256"	True	686	5.9
"b26001"	"256"	True	9	1.9
"b25077"	"251"	True	95	19.8
"b25002"	"251"	True	271	18.8
"b19083"	"251"	True	82	17.1
"b23025"	"251"	True	562	16.7
"b25003"	"251"	True	232	16.1
"b25010"	"251"	True	222	15.4
"b01002"	"251"	True	209	14.5
"b11001"	"251"	True	577	13.4
"c17002"	"251"	True	502	13.1
"b14001"	"251"	True	612	12.8
