"variable"	"sig_dif"	"sig_dif_count"	"percent"
"b05002_001"	True	55882	30.2
"b25077_001"	True	122125	30.1
"b07204_001"	True	52930	28.6
"b14001_001"	True	51356	27.8
"b14001_010"	True	48756	26.4
"b05002_002"	True	48011	26.0
"b08006_001"	True	46680	25.2
"b23025_005"	True	100734	24.8
"b07204_002"	True	44256	23.9
"b08006_002"	True	43069	23.3
"b01001_001"	True	93616	23.1
"b03002_001"	True	93616	23.1
"b02001_001"	True	93616	23.1
"b08006_003"	True	42762	23.1
"c17002_001"	True	89192	22.0
"b15002_001"	True	86710	21.4
"c17002_008"	True	86360	21.3
"b23025_001"	True	86565	21.3
"b03002_002"	True	85017	21.0
"b02001_002"	True	84457	20.8
"b23025_004"	True	84167	20.7
"c24030_001"	True	84167	20.7
"b25002_001"	True	84182	20.7
"b05002_003"	True	38061	20.6
"b14001_002"	True	37783	20.4
"b13002_001"	True	36877	19.9
"b11001_001"	True	80215	19.8
"b19001_001"	True	80215	19.8
"b25002_002"	True	80215	19.8
"b25003_001"	True	80215	19.8
"b03002_003"	True	79143	19.5
"b13002_011"	True	35677	19.3
"b15002_019"	True	77586	19.1
"b01001_026"	True	77341	19.1
"b23025_002"	True	77246	19.0
"b23025_003"	True	77054	19.0
"b15002_002"	True	76698	18.9
"b01001_002"	True	76756	18.9
"c24030_002"	True	75838	18.7
"b05002_004"	True	34051	18.4
"b13002_012"	True	33638	18.2
"c24030_029"	True	73040	18.0
"b07204_003"	True	32831	17.8
"b23025_007"	True	70949	17.5
"b11001_002"	True	69796	17.2
"b13002_015"	True	31877	17.2
"b25010_003"	True	69745	17.2
"b08006_017"	True	31243	16.9
"b25064_001"	True	67998	16.8
"b25003_002"	True	68259	16.8
"b01002_001"	True	67892	16.7
"b19083_001"	True	30812	16.7
"b25063_001"	True	66745	16.4
"b14001_008"	True	30381	16.4
"b25070_001"	True	66745	16.4
"b25003_003"	True	66745	16.4
"b19001_017"	True	65706	16.2
"b11001_003"	True	65417	16.1
"b25063_002"	True	65468	16.1
"b07204_007"	True	29757	16.1
"b25010_001"	True	64586	15.9
"b19013_001"	True	64315	15.8
"b14001_007"	True	28991	15.7
"b08006_004"	True	28925	15.6
"b11001_007"	True	62328	15.4
"b14001_006"	True	28525	15.4
"b13002_016"	True	28509	15.4
"b14001_005"	True	28333	15.3
"b15002_032"	True	61529	15.2
"b03002_012"	True	61875	15.2
"b25010_002"	True	61620	15.2
"b01001_040"	True	60562	14.9
"b01002_003"	True	60490	14.9
"b08006_005"	True	27390	14.8
"b05002_013"	True	27251	14.7
"b19001_016"	True	59329	14.6
"b13002_018"	True	27052	14.6
"b01001_016"	True	58736	14.5
"b11001_008"	True	58776	14.5
"b01001_039"	True	58733	14.5
"c24030_048"	True	58849	14.5
"b19001_014"	True	58730	14.5
"b19001_013"	True	58341	14.4
"b01002_002"	True	58515	14.4
"b25002_003"	True	58016	14.3
"b05002_007"	True	26480	14.3
"b07204_009"	True	26238	14.2
"b15002_028"	True	57322	14.1
"b13002_017"	True	26071	14.1
"b01001_015"	True	57360	14.1
"b15002_011"	True	56869	14.0
"b05002_006"	True	25579	13.8
"b15002_015"	True	55959	13.8
"b03002_013"	True	55638	13.7
"b11001_004"	True	55028	13.6
"b01001_038"	True	55181	13.6
"b01001_046"	True	54693	13.5
"b05002_014"	True	24947	13.5
"b01001_036"	True	54810	13.5
"b13002_014"	True	24986	13.5
"b01001_037"	True	53803	13.3
"b01001_014"	True	53413	13.2
"b01001_035"	True	53039	13.1
"b15002_030"	True	53138	13.1
"b01001_012"	True	53292	13.1
"b01001_003"	True	52964	13.1
"b01001_041"	True	53249	13.1
"b05002_008"	True	24015	13.0
"c17002_003"	True	52774	13.0
"b01001_017"	True	52833	13.0
"b01001_013"	True	52200	12.9
"b25063_020"	True	51921	12.8
"b01001_022"	True	51972	12.8
"b01001_011"	True	51764	12.8
"b01001_005"	True	51827	12.8
"b19001_012"	True	51574	12.7
"b11001_006"	True	51573	12.7
"b19001_015"	True	51421	12.7
"b01001_029"	True	51442	12.7
"b01001_027"	True	51620	12.7
"b01001_028"	True	51610	12.7
"b15002_013"	True	51150	12.6
"b01001_004"	True	51165	12.6
"b07204_008"	True	23134	12.5
"b13002_019"	True	22986	12.4
"b15002_031"	True	50418	12.4
"b05002_005"	True	22670	12.3
"b15002_033"	True	49961	12.3
"c17002_002"	True	49921	12.3
"b01001_045"	True	48596	12.0
"b19001_002"	True	48816	12.0
"b05002_021"	True	21956	11.9
"b07204_010"	True	22076	11.9
"b14001_003"	True	22076	11.9
"c17002_006"	True	47801	11.8
"b14001_004"	True	21674	11.7
"b19001_011"	True	47475	11.7
"b01001_021"	True	46177	11.4
"c24030_007"	True	46111	11.4
"c24030_006"	True	46080	11.4
"b01001_043"	True	46187	11.4
"b01001_006"	True	45947	11.3
"b01001_030"	True	45294	11.2
"b07204_004"	True	20665	11.2
"c24030_017"	True	44965	11.1
"b15002_014"	True	45173	11.1
"b02001_008"	True	45227	11.1
"b07204_005"	True	20607	11.1
