"tabid"	"tabname"
"b01001"	"Sex By Age"
"b01002"	"Median Age By Sex"
"b02001"	"Race"
"b03002"	"Hispanic Or Latino Origin By Race"
"b05002"	"Place Of Birth By Nativity And Citizenship Status"
"b07204"	"Geographical Mobility In The Past Year For Current Residence--State, County And Place Level In The United States"
"b08006"	"Sex Of Workers By Means Of Transportation To Work"
"b11001"	"Household Type (Including Living Alone)"
"b13002"	"Women 15 To 50 Years Who Had A Birth In The Past 12 Months By Marital Status And Age"
"b14001"	"School Enrollment By Level Of School For The Population 3 Years And Over"
"b15002"	"Sex By Educational Attainment For The Population 25 Years And Over"
"c17002"	"Ratio Of Income To Poverty Level In The Past 12 Months"
"b19001"	"Household Income In The Past 12 Months (In 2019 Inflation-Adjusted Dollars)"
"b19013"	"Median Household Income In The Past 12 Months (In 2019 Inflation-Adjusted Dollars)"
"b19083"	"Gini Index Of Income Inequality"
"b23025"	"Employment Status For The Population 16 Years And Over"
"c24030"	"Sex By Industry For The Civilian Employed Population 16 Years And Over"
"b25002"	"Occupancy Status"
"b25003"	"Tenure"
"b25010"	"Average Household Size Of Occupied Housing Units By Tenure"
"b25063"	"Gross Rent"
"b25064"	"Median Gross Rent (Dollars)"
"b25070"	"Gross Rent As A Percentage Of Household Income In The Past 12 Months"
"b25077"	"Median Value (Dollars)"
"b26001"	"Group Quarters Population"
