"sumlevel"	"sig_dif"	"sig_dif_count"	"percent"
"010"	False	19	6.1
"010"	True	290	93.9
"020"	False	98	7.9
"020"	True	1138	92.1
"030"	False	316	11.4
"030"	True	2465	88.6
"040"	False	4402	27.4
"040"	True	11647	72.5
"040"	nan	19	0.1
"050"	False	713704	71.7
"050"	True	279300	28.1
"050"	nan	1976	0.2
"060"	False	10108206	89.5
"060"	True	1131118	10.0
"060"	nan	52772	0.5
"140"	False	19872115	87.3
"140"	True	2822174	12.4
"140"	nan	61089	0.3
"150"	False	46084036	91.9
"150"	True	3952314	7.9
"150"	nan	117722	0.2
"160"	False	8239296	90.4
"160"	True	847449	9.3
"160"	nan	31845	0.3
"170"	False	1489	60.2
"170"	True	983	39.8
"250"	False	194735	90.9
"250"	True	18013	8.4
"250"	nan	1389	0.6
"251"	False	135342	91.2
"251"	True	11988	8.1
"251"	nan	990	0.7
"256"	False	133217	89.6
"256"	True	14777	9.9
"256"	nan	635	0.4
"258"	False	188634	90.4
"258"	True	19238	9.2
"258"	nan	748	0.4
"310"	False	159023	64.7
"310"	True	86636	35.2
"310"	nan	305	0.1
"400"	False	915106	82.4
"400"	True	193420	17.4
"400"	nan	1402	0.1
"500"	False	51419	45.2
"500"	True	61837	54.4
"500"	nan	456	0.4
"795"	False	472109	64.2
"795"	True	260775	35.5
"795"	nan	1918	0.3
"860"	False	8984958	87.8
"860"	True	1215977	11.9
"860"	nan	33145	0.3
