"table"	"sig_dif"	"sig_dif_count"	"percent"
"b01001"	False	17621207	88.6
"b01001"	True	2262353	11.4
"b01001"	nan	3	0.0
"b01002"	False	1014447	83.3
"b01002"	True	186897	15.4
"b01002"	nan	16017	1.3
"b02001"	False	3651840	90.0
"b02001"	True	406030	10.0
"b03002"	False	7894854	92.6
"b03002"	True	626660	7.4
"b03002"	nan	13	0.0
"b05002"	False	2386472	86.0
"b05002"	True	386998	14.0
"b07204"	False	3131777	89.1
"b07204"	True	336426	9.6
"b07204"	nan	44859	1.3
"b08006"	False	2803628	89.2
"b08006"	True	339638	10.8
"b11001"	False	3127269	85.6
"b11001"	True	524814	14.4
"b13002"	False	3114003	88.6
"b13002"	True	346752	9.9
"b13002"	nan	52307	1.5
"b14001"	False	1534747	83.0
"b14001"	True	314233	17.0
"b15002"	False	13039809	91.8
"b15002"	True	1162736	8.2
"b19001"	False	6048118	87.7
"b19001"	True	850261	12.3
"b19013"	False	323360	79.7
"b19013"	True	64315	15.8
"b19013"	nan	18112	4.5
"b19083"	False	150094	81.2
"b19083"	True	30812	16.7
"b19083"	nan	3992	2.2
"b23025"	False	2339505	82.4
"b23025"	True	501004	17.6
"b25002"	False	994948	81.7
"b25002"	True	222413	18.3
"b25003"	False	1002142	82.3
"b25003"	True	215219	17.7
"b25010"	False	972552	79.9
"b25010"	True	195951	16.1
"b25010"	nan	48858	4.0
"b25063"	False	9169975	94.2
"b25063"	True	568913	5.8
"b25064"	False	245346	60.5
"b25064"	True	67998	16.8
"b25064"	nan	92443	22.8
"b25070"	False	4124248	92.4
"b25070"	True	339409	7.6
"b25077"	False	253855	62.6
"b25077"	True	122125	30.1
"b25077"	nan	29807	7.3
"b26001"	False	179534	97.1
"b26001"	True	5364	2.9
"c17002"	False	2805929	86.4
"c17002"	True	440367	13.6
"c24030"	False	10732771	91.2
"c24030"	True	1035052	8.8
