"variable"	"sig_dif_count"	"percent"
"b01001_001"	405787	0.4
"b01001_002"	405787	0.4
"b01001_003"	405787	0.4
"b01001_004"	405787	0.4
"b01001_005"	405787	0.4
"b01001_006"	405787	0.4
"b01001_007"	405787	0.4
"b01001_008"	405787	0.4
"b01001_009"	405787	0.4
"b01001_010"	405787	0.4
"b01001_011"	405787	0.4
"b01001_012"	405787	0.4
"b01001_013"	405787	0.4
"b01001_014"	405787	0.4
"b01001_015"	405787	0.4
"b01001_016"	405787	0.4
"b01001_017"	405787	0.4
"b01001_018"	405787	0.4
"b01001_019"	405787	0.4
"b01001_020"	405787	0.4
"b01001_021"	405787	0.4
"b01001_022"	405787	0.4
"b01001_023"	405787	0.4
"b01001_024"	405787	0.4
"b01001_025"	405787	0.4
"b01001_026"	405787	0.4
"b01001_027"	405787	0.4
"b01001_028"	405787	0.4
"b01001_029"	405787	0.4
"b01001_030"	405787	0.4
"b01001_031"	405787	0.4
"b01001_032"	405787	0.4
"b01001_033"	405787	0.4
"b01001_034"	405787	0.4
"b01001_035"	405787	0.4
"b01001_036"	405787	0.4
"b01001_037"	405787	0.4
"b01001_038"	405787	0.4
"b01001_039"	405787	0.4
"b01001_040"	405787	0.4
"b01001_041"	405787	0.4
"b01001_042"	405787	0.4
"b01001_043"	405787	0.4
"b01001_044"	405787	0.4
"b01001_045"	405787	0.4
"b01001_046"	405787	0.4
"b01001_047"	405787	0.4
"b01001_048"	405787	0.4
"b01001_049"	405787	0.4
"b01002_001"	405787	0.4
"b01002_002"	405787	0.4
"b01002_003"	405787	0.4
"b02001_001"	405787	0.4
"b02001_002"	405787	0.4
"b02001_003"	405787	0.4
"b02001_004"	405787	0.4
"b02001_005"	405787	0.4
"b02001_006"	405787	0.4
"b02001_007"	405787	0.4
"b02001_008"	405787	0.4
"b02001_009"	405787	0.4
"b02001_010"	405787	0.4
"b03002_001"	405787	0.4
"b03002_002"	405787	0.4
"b03002_003"	405787	0.4
"b03002_004"	405787	0.4
"b03002_005"	405787	0.4
"b03002_006"	405787	0.4
"b03002_007"	405787	0.4
"b03002_008"	405787	0.4
"b03002_009"	405787	0.4
"b03002_010"	405787	0.4
"b03002_011"	405787	0.4
"b03002_012"	405787	0.4
"b03002_013"	405787	0.4
"b03002_014"	405787	0.4
"b03002_015"	405787	0.4
"b03002_016"	405787	0.4
"b03002_017"	405787	0.4
"b03002_018"	405787	0.4
"b03002_019"	405787	0.4
"b03002_020"	405787	0.4
"b03002_021"	405787	0.4
"b05002_001"	184898	0.2
"b05002_002"	184898	0.2
"b05002_003"	184898	0.2
"b05002_004"	184898	0.2
"b05002_005"	184898	0.2
"b05002_006"	184898	0.2
"b05002_007"	184898	0.2
"b05002_008"	184898	0.2
"b05002_009"	184898	0.2
"b05002_010"	184898	0.2
"b05002_011"	184898	0.2
"b05002_012"	184898	0.2
"b05002_013"	184898	0.2
"b05002_014"	184898	0.2
"b05002_021"	184898	0.2
"b07204_001"	184898	0.2
"b07204_002"	184898	0.2
"b07204_003"	184898	0.2
"b07204_004"	184898	0.2
"b07204_005"	184898	0.2
"b07204_006"	184898	0.2
"b07204_007"	184898	0.2
"b07204_008"	184898	0.2
"b07204_009"	184898	0.2
"b07204_010"	184898	0.2
"b07204_011"	184898	0.2
"b07204_012"	184898	0.2
"b07204_013"	184898	0.2
"b07204_014"	184898	0.2
"b07204_015"	184898	0.2
"b07204_016"	184898	0.2
"b07204_017"	184898	0.2
"b07204_018"	184898	0.2
"b07204_019"	184898	0.2
"b08006_001"	184898	0.2
"b08006_002"	184898	0.2
"b08006_003"	184898	0.2
"b08006_004"	184898	0.2
"b08006_005"	184898	0.2
"b08006_006"	184898	0.2
"b08006_007"	184898	0.2
"b08006_008"	184898	0.2
"b08006_009"	184898	0.2
"b08006_010"	184898	0.2
"b08006_011"	184898	0.2
"b08006_012"	184898	0.2
"b08006_013"	184898	0.2
"b08006_014"	184898	0.2
"b08006_015"	184898	0.2
"b08006_016"	184898	0.2
"b08006_017"	184898	0.2
"b11001_001"	405787	0.4
"b11001_002"	405787	0.4
"b11001_003"	405787	0.4
"b11001_004"	405787	0.4
"b11001_005"	405787	0.4
"b11001_006"	405787	0.4
"b11001_007"	405787	0.4
"b11001_008"	405787	0.4
"b11001_009"	405787	0.4
"b13002_001"	184898	0.2
"b13002_002"	184898	0.2
"b13002_003"	184898	0.2
"b13002_004"	184898	0.2
"b13002_005"	184898	0.2
"b13002_006"	184898	0.2
"b13002_007"	184898	0.2
"b13002_008"	184898	0.2
